market,date,return_pct,rank
ZT,2001-09-13,0.97,best
ZT,2008-09-15,0.99,best
ZT,2023-03-13,1.08,best
ZT,1987-10-20,1.56,best
ZW,2009-09-04,-41.16,worst
ZW,2009-09-11,-40.03,worst
ZW,2008-09-01,-30.38,worst
ZW,2008-07-04,-28.67,worst
ZW,2009-11-26,-28.31,worst
ZW,2008-09-02,37.19,best
ZW,2009-11-27,39.1,best
ZW,2009-12-28,46.28,best
ZW,2009-09-14,66.09,best
ZW,2009-09-09,69.9,best
