sess,entry,exit,high,low,bars,prior_day_ret,trend,mfe,mae,pnl,mfe_usd,mae_usd,prior_night,vol20,dow,year,month
2020-09-22,11160.25,11221.0,11222.5,11076.0,144,0.8809776593101226,-0.4144510652948852,62.25,84.25,121.0,124.5,168.5,149.0,239.18879352379446,1,2020,9
2020-09-23,10803.25,10769.5,10847.0,10714.25,144,-2.979019098000535,-3.5082400213301557,43.75,89.0,-68.0,87.5,178.0,121.0,239.79030724232447,2,2020,9
2020-09-24,10910.75,10867.75,10976.5,10844.75,144,1.476281542982405,-3.032898971116005,65.75,66.0,-86.5,131.5,132.0,-68.0,240.6015432859459,3,2020,9
2020-09-27,11140.0,11270.75,11297.0,11136.0,144,2.189077558513075,-0.8450016832347917,157.0,4.0,261.0,314.0,8.0,-86.5,242.21882233785382,6,2020,9
2020-09-28,11388.5,11370.5,11449.0,11334.0,144,0.16311775338360146,1.0408272539842667,60.5,54.5,-36.5,121.0,109.0,261.0,247.0828901507814,0,2020,9
2020-09-29,11321.25,11234.75,11426.75,11167.5,144,-0.3172924378635589,0.5293121608468843,105.5,153.75,-173.5,211.0,307.5,-36.5,242.91285393174053,1,2020,9
2020-09-30,11372.25,11543.75,11555.0,11372.25,144,0.733215547703181,1.2516382467119502,182.75,0.0,342.5,365.5,0.0,-173.5,241.15328167611122,2,2020,9
2020-10-01,11567.75,11326.0,11604.75,11300.0,144,0.1449463482173785,2.628828655460569,37.0,267.75,-484.0,74.0,535.5,342.5,244.89449393135544,3,2020,10
2020-10-04,11285.25,11343.75,11365.75,11268.0,144,-0.6428524090396959,-0.40523483690958484,80.5,17.25,116.5,161.0,34.5,-484.0,271.43145276962935,6,2020,10
2020-10-05,11475.0,11419.25,11491.25,11403.0,144,1.4502991103949148,1.5857437788181494,16.25,72.0,-112.0,32.5,144.0,116.5,267.08211210274476,0,2020,10
2020-10-06,11217.25,11316.5,11358.0,11208.5,144,-1.4982091377653495,-0.4146189272723366,140.75,8.75,198.0,281.5,17.5,-112.0,245.89900044744508,1,2020,10
2020-10-07,11474.5,11539.25,11572.75,11470.0,144,0.8278072987571994,1.218706823506177,98.25,4.5,129.0,196.5,9.0,198.0,220.1872946762416,2,2020,10
2020-10-08,11561.0,11569.75,11602.25,11553.0,144,-0.3067816017456315,1.558201465765796,41.25,8.0,17.0,82.5,16.0,129.0,221.17652511773903,3,2020,10
2020-10-11,11728.75,11835.5,11879.5,11691.75,144,0.9416277015234176,2.918567216066603,150.75,37.0,213.0,301.5,74.0,17.0,213.94899170744304,6,2020,10
2020-10-12,12098.75,12206.5,12211.75,12022.0,144,1.364113326337879,5.893789625214918,113.0,76.75,215.0,226.0,153.5,213.0,214.78529058720838,0,2020,10
2020-10-13,12080.0,12113.25,12177.75,12073.0,144,-0.6336796625861507,5.6951099735111255,97.75,7.0,66.0,195.5,14.0,215.0,214.280882746283,1,2020,10
2020-10-14,11951.0,11771.0,11983.75,11737.0,144,-1.1043679299810094,4.6823324173711045,32.75,214.0,-360.5,65.5,428.0,66.0,213.37226395742195,2,2020,10
2020-10-15,11891.25,11895.75,11941.5,11825.75,144,0.9744809137616217,3.7805798236116406,50.25,65.5,8.5,100.5,131.0,-360.5,225.57263388517387,3,2020,10
2020-10-18,11815.75,11927.25,11949.0,11815.0,144,-1.1286445814609691,3.119009429705333,133.25,0.75,222.5,266.5,1.5,8.5,223.90731605780658,6,2020,10
2020-10-19,11697.75,11725.0,11747.75,11667.5,144,-2.353163440950501,1.3127070706542732,50.0,30.25,54.0,100.0,60.5,222.5,209.0797883458294,0,2020,10
2020-10-20,11673.0,11677.0,11743.75,11581.25,144,-0.0278575408220072,1.505491822860483,70.75,91.75,7.5,141.5,183.5,54.0,207.47194483769803,1,2020,10
2020-10-21,11686.25,11657.5,11701.5,11591.0,144,-0.14567890655126092,1.2737768491752899,15.25,95.25,-58.0,30.5,190.5,7.5,206.46354813992298,2,2020,10
2020-10-22,11666.75,11654.25,11682.25,11602.0,144,-0.28023188653817366,1.1975418740214794,15.5,64.75,-25.5,31.0,129.5,-58.0,206.23469480692435,3,2020,10
2020-10-25,11650.25,11563.0,11651.0,11543.5,144,0.01926741024598222,1.3335600613900933,0.75,106.75,-175.0,1.5,213.5,-25.5,204.9150321346309,6,2020,10
