20260602 133000;30643.25;30650.00;30625.00;30626.25;14035
20260602 133500;30626.25;30630.00;30609.00;30612.50;13996
20260602 134000;30612.50;30640.00;30611.00;30635.75;14264
20260602 134500;30635.50;30649.00;30630.25;30645.75;10103
20260602 135000;30645.75;30650.25;30633.25;30641.00;9568
20260602 135500;30641.00;30641.00;30624.75;30627.75;8947
20260602 140000;30628.25;30632.25;30614.50;30621.00;10251
20260602 140500;30621.00;30648.25;30620.75;30643.75;10277
20260602 141000;30643.75;30668.50;30642.75;30647.50;12792
20260602 141500;30648.50;30648.50;30632.50;30634.00;9796
20260602 142000;30634.50;30641.75;30629.50;30635.25;6172
20260602 142500;30634.50;30645.25;30631.75;30637.25;6233
20260602 143000;30638.25;30654.75;30637.50;30639.25;10261
20260602 143500;30639.00;30639.50;30608.50;30609.00;12400
20260602 144000;30609.25;30622.25;30597.75;30617.50;12350
20260602 144500;30617.50;30634.00;30613.00;30629.50;8011
20260602 145000;30630.00;30633.75;30615.00;30625.25;7461
20260602 145500;30625.50;30641.25;30618.75;30638.25;7308
20260602 150000;30638.75;30668.50;30637.50;30667.50;12736
20260602 150500;30667.75;30671.50;30655.75;30666.75;10812
20260602 151000;30666.75;30682.50;30666.00;30672.50;10614
20260602 151500;30672.75;30678.00;30662.25;30670.50;7682
20260602 152000;30670.25;30686.75;30668.25;30683.00;8718
20260602 152500;30682.50;30685.50;30661.00;30664.00;8403
20260602 153000;30664.25;30680.00;30662.50;30675.25;9981
20260602 153500;30675.25;30684.00;30670.50;30671.25;6507
20260602 154000;30671.00;30686.00;30667.50;30681.75;7342
20260602 154500;30681.75;30705.75;30678.00;30702.25;13152
