level_type,session,year,price,distance_from_close,lag,revisited
poc,2021-10-20,2021,18839.0,21.25,1,True
poc,2021-10-21,2021,18858.0,52.25,1,True
poc,2021-10-22,2021,18774.0,3.0,1,True
poc,2021-10-25,2021,18934.0,2.25,40,True
poc,2021-10-26,2021,19002.0,22.0,1,True
poc,2021-10-27,2021,19067.0,47.0,1,True
poc,2021-10-28,2021,19172.0,24.5,1,True
poc,2021-10-29,2021,19220.0,54.75,1,True
poc,2021-11-01,2021,19250.0,78.75,23,True
poc,2021-11-02,2021,19388.0,9.0,1,True
poc,2021-11-03,2021,19412.0,152.75,5,True
poc,2021-11-04,2021,19750.0,19.75,1,True
poc,2021-11-05,2021,19864.0,77.75,9,True
poc,2021-11-08,2021,19788.0,23.75,1,True
poc,2021-11-09,2021,19648.0,4.25,1,True
poc,2021-11-10,2021,19616.0,202.75,2,True
poc,2021-11-11,2021,19498.0,40.25,1,True
poc,2021-11-12,2021,19616.0,8.75,1,True
poc,2021-11-15,2021,19606.0,17.5,1,True
poc,2021-11-16,2021,19732.0,7.75,1,True
poc,2021-11-17,2021,19748.0,0.25,1,True
poc,2021-11-18,2021,19902.0,14.25,2,True
poc,2021-11-19,2021,20018.0,11.0,1,True
poc,2021-11-22,2021,19974.0,155.25,24,True
poc,2021-11-23,2021,19662.0,78.5,1,True
poc,2021-11-24,2021,19750.0,47.25,2,True
poc,2021-11-29,2021,19834.0,8.25,1,True
poc,2021-11-30,2021,19578.0,7.0,1,True
poc,2021-12-01,2021,19790.0,479.5,4,True
poc,2021-12-02,2021,19436.0,9.5,1,True
poc,2021-12-03,2021,19034.0,117.75,1,True
poc,2021-12-06,2021,19280.0,2.0,1,True
poc,2021-12-07,2021,19728.0,28.0,1,True
poc,2021-12-08,2021,19732.0,91.25,1,True
poc,2021-12-09,2021,19728.0,144.75,1,True
poc,2021-12-10,2021,19682.0,78.75,1,True
poc,2021-12-13,2021,19588.0,73.75,2,True
poc,2021-12-14,2021,19358.0,4.0,1,True
poc,2021-12-15,2021,19274.0,435.0,1,True
poc,2021-12-16,2021,19380.0,89.75,1,True
poc,2021-12-17,2021,19243.0,35.75,1,True
poc,2021-12-20,2021,19000.0,52.5,13,True
poc,2021-12-21,2021,19358.0,42.75,1,True
poc,2021-12-22,2021,19541.0,54.25,9,True
poc,2021-12-23,2021,19746.0,24.5,1,True
poc,2021-12-27,2021,19946.0,41.5,1,True
poc,2021-12-28,2021,19912.0,9.75,1,True
poc,2021-12-29,2021,19864.0,52.5,1,True
poc,2021-12-30,2021,19964.0,108.25,3,True
poc,2021-12-31,2021,19802.0,50.0,1,True
poc,2022-01-03,2022,19838.0,78.75,1,True
poc,2022-01-04,2022,19628.0,72.25,1,True
poc,2022-01-05,2022,19576.0,384.75,60,False
poc,2022-01-06,2022,19248.0,62.5,1,True
poc,2022-01-07,2022,19040.0,27.75,1,True
poc,2022-01-10,2022,18646.0,385.5,6,True
poc,2022-01-11,2022,19222.0,37.25,1,True
poc,2022-01-12,2022,19330.0,7.25,1,True
poc,2022-01-13,2022,19082.0,157.5,60,False
poc,2022-01-14,2022,18940.0,80.0,1,True
poc,2022-01-18,2022,18722.0,80.75,1,True
poc,2022-01-19,2022,18716.0,251.25,1,True
poc,2022-01-20,2022,18716.0,452.0,60,False
poc,2022-01-21,2022,18068.0,226.5,3,True
poc,2022-01-24,2022,17448.0,485.5,1,True
poc,2022-01-25,2022,17516.0,62.75,1,True
poc,2022-01-26,2022,17912.0,336.5,3,True
poc,2022-01-27,2022,17742.0,327.25,1,True
poc,2022-01-28,2022,17654.0,207.25,10,True
poc,2022-01-31,2022,18195.0,130.5,1,True
poc,2022-02-01,2022,18310.0,108.5,1,True
poc,2022-02-02,2022,18498.0,43.5,39,True
poc,2022-02-03,2022,18086.0,155.25,1,True
poc,2022-02-04,2022,18006.0,101.75,1,True
poc,2022-02-07,2022,18145.0,151.75,1,True
poc,2022-02-08,2022,18116.0,44.5,2,True
poc,2022-02-09,2022,18404.0,66.0,1,True
poc,2022-02-10,2022,18360.0,230.5,32,True
poc,2022-02-11,2022,18099.0,433.75,27,True
poc,2022-02-14,2022,17700.0,16.0,1,True
poc,2022-02-15,2022,17966.0,69.25,1,True
poc,2022-02-16,2022,17874.0,154.5,1,True
poc,2022-02-17,2022,17784.0,191.5,10,True
poc,2022-02-18,2022,17422.0,10.5,1,True
poc,2022-02-22,2022,17318.0,25.25,1,True
poc,2022-02-23,2022,17240.0,305.25,1,True
poc,2022-02-24,2022,16938.0,455.75,7,True
poc,2022-02-25,2022,17556.0,53.25,1,True
poc,2022-02-28,2022,17508.0,153.25,1,True
poc,2022-03-01,2022,17598.0,166.5,1,True
poc,2022-03-02,2022,17680.0,15.75,1,True
poc,2022-03-03,2022,17558.0,95.5,10,True
poc,2022-03-04,2022,17210.0,51.25,1,True
poc,2022-03-07,2022,17046.0,298.25,1,True
poc,2022-03-08,2022,16728.0,45.75,1,True
poc,2022-03-09,2022,17150.0,17.75,1,True
poc,2022-03-10,2022,17018.0,0.5,1,True
poc,2022-03-11,2022,16874.0,146.25,1,True
poc,2022-03-14,2022,16498.0,21.25,1,True
poc,2022-03-15,2022,16742.0,142.5,27,True
poc,2022-03-16,2022,17244.0,140.75,22,True
poc,2022-03-17,2022,17400.0,148.75,1,True
poc,2022-03-18,2022,17732.0,107.0,1,True
poc,2022-03-21,2022,17742.0,59.75,1,True
poc,2022-03-22,2022,18050.0,35.0,1,True
poc,2022-03-23,2022,17936.0,61.75,1,True
poc,2022-03-24,2022,18084.0,112.75,1,True
poc,2022-03-25,2022,18160.0,25.25,1,True
poc,2022-03-28,2022,18272.0,145.0,4,True
poc,2022-03-29,2022,18570.0,100.75,1,True
poc,2022-03-30,2022,18584.0,74.0,1,True
poc,2022-03-31,2022,18430.0,129.5,2,True
poc,2022-04-01,2022,18188.0,103.0,3,True
poc,2022-04-04,2022,18534.0,60.0,1,True
poc,2022-04-05,2022,18324.0,62.75,60,False
poc,2022-04-06,2022,17901.0,34.75,1,True
poc,2022-04-07,2022,17968.0,5.25,1,True
poc,2022-04-08,2022,17812.0,45.75,60,False
poc,2022-04-11,2022,17492.0,61.25,1,True
poc,2022-04-12,2022,17539.0,167.25,1,True
poc,2022-04-13,2022,17580.0,71.75,1,True
poc,2022-04-14,2022,17494.0,170.25,2,True
poc,2022-04-18,2022,17290.0,56.75,1,True
poc,2022-04-19,2022,17584.0,58.25,1,True
poc,2022-04-20,2022,17502.0,68.5,1,True
poc,2022-04-21,2022,17154.0,2.75,1,True
poc,2022-04-22,2022,17052.0,263.75,60,False
poc,2022-04-25,2022,16750.0,211.5,1,True
poc,2022-04-26,2022,16556.0,116.25,1,True
poc,2022-04-27,2022,16546.0,113.25,1,True
poc,2022-04-28,2022,16560.0,333.0,1,True
poc,2022-04-29,2022,16628.0,341.25,3,True
poc,2022-05-02,2022,16297.0,203.75,3,True
poc,2022-05-03,2022,16474.0,46.25,1,True
poc,2022-05-04,2022,16509.0,454.0,1,True
poc,2022-05-05,2022,16324.0,34.25,1,True
poc,2022-05-06,2022,16218.0,95.0,16,True
poc,2022-05-09,2022,15718.0,91.25,1,True
poc,2022-05-10,2022,15894.0,121.0,1,True
poc,2022-05-11,2022,15712.0,307.5,2,True
poc,2022-05-12,2022,15292.0,86.0,5,True
poc,2022-05-13,2022,15758.0,56.75,1,True
poc,2022-05-16,2022,15666.0,11.25,1,True
poc,2022-05-17,2022,15906.0,87.5,1,True
poc,2022-05-18,2022,15759.0,388.5,6,True
poc,2022-05-19,2022,15378.0,70.75,1,True
poc,2022-05-20,2022,15000.0,264.5,16,True
poc,2022-05-23,2022,15426.0,38.75,2,True
poc,2022-05-24,2022,15172.0,40.0,1,True
poc,2022-05-25,2022,15290.0,89.75,1,True
poc,2022-05-26,2022,15731.0,26.75,1,True
poc,2022-05-27,2022,16014.0,97.25,2,True
poc,2022-05-31,2022,16166.0,90.75,1,True
poc,2022-06-01,2022,16068.0,88.5,1,True
poc,2022-06-02,2022,16278.0,45.75,1,True
poc,2022-06-03,2022,16004.0,20.25,1,True
poc,2022-06-06,2022,16026.0,4.25,1,True
poc,2022-06-07,2022,16084.0,57.0,1,True
poc,2022-06-08,2022,16062.0,13.0,1,True
poc,2022-06-09,2022,15996.0,294.5,30,True
poc,2022-06-10,2022,15316.0,48.75,10,True
poc,2022-06-13,2022,14832.0,106.25,1,True
poc,2022-06-14,2022,14738.0,10.25,2,True
poc,2022-06-15,2022,14924.0,105.25,1,True
poc,2022-06-16,2022,14554.0,9.25,1,True
poc,2022-06-17,2022,14736.0,46.25,1,True
poc,2022-06-21,2022,15020.0,43.5,1,True
poc,2022-06-22,2022,15068.0,112.25,1,True
poc,2022-06-23,2022,14988.0,143.0,4,True
poc,2022-06-24,2022,15416.0,128.5,1,True
poc,2022-06-27,2022,15454.0,11.75,1,True
