date,SND baseline,Phase 6 locked candidate
2025-04-07,-7.376908396946565,-1.1340579710144927
2025-04-08,-7.213207547169811,-1.2977941176470589
2025-04-09,-6.526951672862453,0.8884892086330936
2025-04-10,-6.768587360594796,2.4089285714285715
2025-04-11,-7.2951263537906135,2.375
2025-04-12,-7.2951263537906135,2.375
2025-04-13,-6.870909090909091,3.5602836879432624
2025-04-14,-7.353260869565218,2.5673758865248226
2025-04-15,-6.990842490842491,1.9692028985507246
2025-04-16,-8.530109489051094,1.0727611940298507
2025-04-17,-7.612727272727272,1.1278195488721805
2025-04-18,-7.612727272727272,1.1278195488721805
2025-04-19,-7.612727272727272,1.1278195488721805
2025-04-20,-7.88929889298893,0.4346153846153846
2025-04-21,-9.454044117647058,-0.5173076923076924
2025-04-22,-10.417870036101084,-1.0171755725190839
2025-04-23,-10.501798561151078,-0.3942307692307692
2025-04-24,-10.052678571428572,0.8492366412213741
2025-04-25,-10.38918439716312,0.8492366412213741
2025-04-26,-10.070284697508896,0.8492366412213741
2025-04-27,-8.96286231884058,2.328740157480315
2025-04-28,-8.790322580645162,0.7893700787401575
2025-04-29,-9.882299270072993,-0.17857142857142858
2025-04-30,-10.960332103321033,-0.37398373983739835
2025-05-01,-11.313186813186814,-1.4233870967741935
2025-05-02,-11.844545454545454,-0.612
2025-05-03,-11.784671532846716,-0.38911290322580644
2025-05-04,-11.452205882352942,-0.008130081300813009
2025-05-05,-10.422445255474452,1.486
2025-05-06,-12.260909090909092,1.2698412698412698
2025-05-07,-12.287003610108304,1.0992063492063493
