session_date,net_pnl_dollars,equity_dollars
2024-01-09,-1.0,278.5
2024-01-10,0.0,278.5
2024-01-11,0.0,278.5
2024-01-16,0.5,279.0
2024-01-17,0.0,279.0
2024-01-18,0.0,279.0
2024-01-22,1.5,280.5
2024-01-23,-87.5,193.0
2024-01-24,0.0,193.0
2024-01-25,0.0,193.0
2024-01-29,0.0,193.0
2024-01-30,0.0,193.0
2024-01-31,0.0,193.0
2024-02-01,0.0,193.0
2024-02-05,0.0,193.0
2024-02-06,0.0,193.0
2024-02-07,0.0,193.0
2024-02-08,0.0,193.0
2024-02-12,0.0,193.0
2024-02-13,6.5,199.5
2024-02-14,0.0,199.5
2024-02-15,0.0,199.5
2024-02-20,0.0,199.5
2024-02-21,0.0,199.5
2024-02-22,0.0,199.5
2024-02-26,7.5,207.0
2024-02-27,2.5,209.5
2024-02-28,0.0,209.5
2024-02-29,0.5,210.0
2024-03-04,6.0,216.0
2024-03-05,0.0,216.0
2024-03-06,0.0,216.0
2024-03-07,0.0,216.0
2024-03-11,0.0,216.0
2024-03-12,5.5,221.5
2024-03-13,0.0,221.5
2024-03-14,0.0,221.5
2024-03-18,0.0,221.5
2024-03-19,1.5,223.0
2024-03-20,0.0,223.0
2024-03-21,0.0,223.0
2024-03-25,0.0,223.0
2024-03-26,0.0,223.0
2024-03-27,0.0,223.0
2024-04-01,-1.0,222.0
2024-04-02,7.5,229.5
2024-04-03,-1.0,228.5
2024-04-04,0.0,228.5
2024-04-08,0.0,228.5
2024-04-09,-1.0,227.5
2024-04-10,0.0,227.5
2024-04-11,0.5,228.0
2024-04-15,0.0,228.0
2024-04-16,2.5,230.5
2024-04-17,0.0,230.5
2024-04-18,0.0,230.5
2024-04-22,7.5,238.0
2024-04-23,0.0,238.0
2024-04-24,0.0,238.0
2024-04-25,0.0,238.0
2024-04-29,2.5,240.5
2024-04-30,0.0,240.5
2024-05-01,0.0,240.5
2024-05-02,0.0,240.5
2024-05-06,0.0,240.5
2024-05-07,0.0,240.5
2024-05-08,7.5,248.0
2024-05-09,1.5,249.5
2024-05-13,0.0,249.5
2024-05-14,-0.5,249.0
2024-05-15,0.0,249.0
2024-05-16,-22.5,226.5
2024-05-20,3.0,229.5
2024-05-21,0.0,229.5
2024-05-22,0.0,229.5
2024-05-23,0.0,229.5
2024-05-28,0.0,229.5
2024-05-29,0.0,229.5
2024-05-30,0.0,229.5
2024-06-03,0.0,229.5
2024-06-04,0.0,229.5
2024-06-05,0.0,229.5
2024-06-06,0.0,229.5
2024-06-10,0.0,229.5
2024-06-11,2.5,232.0
2024-06-12,0.0,232.0
2024-06-13,0.0,232.0
2024-06-17,4.5,236.5
2024-06-18,2.5,239.0
2024-06-20,0.0,239.0
2024-06-24,9.0,248.0
2024-06-25,2.5,250.5
2024-06-26,0.0,250.5
2024-06-27,0.0,250.5
2024-07-01,9.5,260.0
2024-07-02,5.0,265.0
2024-07-08,0.0,265.0
2024-07-09,0.0,265.0
2024-07-10,0.0,265.0
2024-07-11,0.0,265.0
2024-07-15,0.0,265.0
2024-07-16,7.5,272.5
2024-07-17,0.0,272.5
2024-07-18,0.0,272.5
2024-07-22,0.0,272.5
2024-07-23,0.0,272.5
2024-07-24,0.0,272.5
2024-07-25,9.5,282.0
2024-07-29,0.0,282.0
2024-07-30,0.0,282.0
2024-07-31,9.0,291.0
2024-08-01,0.0,291.0
2024-08-05,0.0,291.0
2024-08-06,0.0,291.0
2024-08-07,0.0,291.0
2024-08-08,0.0,291.0
2024-08-12,0.0,291.0
2024-08-13,0.0,291.0
2024-08-14,0.0,291.0
2024-08-15,0.5,291.5
2024-08-19,1.0,292.5
2024-08-20,0.0,292.5
2024-08-21,2.5,295.0
2024-08-22,0.0,295.0
2024-08-26,9.5,304.5
2024-08-27,2.0,306.5
2024-08-28,0.0,306.5
2024-08-29,0.0,306.5
2024-09-03,0.0,306.5
2024-09-04,0.0,306.5
2024-09-05,0.0,306.5
2024-09-09,0.0,306.5
2024-09-10,6.5,313.0
2024-09-11,0.0,313.0
2024-09-12,0.0,313.0
2024-09-16,0.0,313.0
2024-09-17,0.0,313.0
2024-09-18,0.5,313.5
2024-09-19,0.0,313.5
2024-09-23,2.5,316.0
2024-09-24,0.0,316.0
2024-09-25,-1.0,315.0
2024-09-26,0.0,315.0
2024-09-30,0.0,315.0
2024-10-01,0.0,315.0
2024-10-02,0.0,315.0
2024-10-03,0.0,315.0
2024-10-07,0.0,315.0
2024-10-08,0.0,315.0
2024-10-09,0.0,315.0
2024-10-10,0.0,315.0
2024-10-14,0.0,315.0
2024-10-15,9.0,324.0
2024-10-16,0.0,324.0
2024-10-17,1.5,325.5
2024-10-21,-1.0,324.5
2024-10-22,9.0,333.5
2024-10-23,0.0,333.5
