session_date,asia_start_ts,reference_ts,side,ny_close,entry_price,gap_points,gap_bps,exit_ts,exit_price,exit_reason,filled,minutes_held,gross_points,mae_points,mfe_points,asia_bars,cost_points,net_points,gross_pnl_dollars,net_pnl_dollars
2023-05-15,2023-05-15 18:00:00-04:00,2023-05-15 17:00:00-04:00,Short,13464.25,13466.75,2.5,1.8567688508457583,2023-05-15 18:05:00-04:00,13464.25,target,True,5.0,2.5,1.0,8.75,72,0.75,1.75,5.0,3.5
2023-05-31,2023-05-31 18:00:00-04:00,2023-05-31 17:00:00-04:00,Short,14288.5,14290.0,1.5,1.049795289918466,2023-05-31 18:10:00-04:00,14288.5,target,True,10.0,1.5,9.5,5.5,72,0.75,0.75,3.0,1.5
2023-06-07,2023-06-07 18:00:00-04:00,2023-06-07 17:00:00-04:00,Short,14316.25,14318.75,2.5,1.7462673535318258,2023-06-07 18:05:00-04:00,14316.25,target,True,5.0,2.5,12.75,2.75,72,0.75,1.75,5.0,3.5
2023-06-20,2023-06-20 18:00:00-04:00,2023-06-20 17:00:00-04:00,Short,15245.5,15247.0,1.5,0.9838968876061789,2023-06-20 18:05:00-04:00,15245.5,target,True,5.0,1.5,6.75,2.0,72,0.75,0.75,3.0,1.5
2023-06-22,2023-06-22 18:00:00-04:00,2023-06-22 17:00:00-04:00,Short,15233.5,15236.0,2.5,1.64111990021991,2023-06-22 18:05:00-04:00,15233.5,target,True,5.0,2.5,0.5,10.5,72,0.75,1.75,5.0,3.5
2023-06-26,2023-06-26 18:00:00-04:00,2023-06-26 17:00:00-04:00,Short,14873.25,14874.75,1.5,1.00852201099289,2023-06-26 18:10:00-04:00,14873.25,target,True,10.0,1.5,8.25,1.5,72,0.75,0.75,3.0,1.5
2023-06-28,2023-06-28 18:00:00-04:00,2023-06-28 17:00:00-04:00,Short,15156.0,15160.5,4.5,2.969121140142518,2023-06-28 18:05:00-04:00,15156.0,target,True,5.0,4.5,3.75,5.25,72,0.75,3.75,9.0,7.5
2023-07-05,2023-07-05 18:00:00-04:00,2023-07-05 17:00:00-04:00,Short,15354.5,15355.0,0.5,0.32563743527955974,2023-07-05 18:05:00-04:00,15354.5,target,True,5.0,0.5,4.5,5.0,72,0.75,-0.25,1.0,-0.5
2023-07-12,2023-07-12 18:00:00-04:00,2023-07-12 17:00:00-04:00,Short,15457.75,15459.75,2.0,1.2938493635878443,2023-07-12 18:05:00-04:00,15457.75,target,True,5.0,2.0,8.25,4.0,72,0.75,1.25,4.0,2.5
2023-07-17,2023-07-17 18:00:00-04:00,2023-07-17 17:00:00-04:00,Short,15826.5,15827.0,0.5,0.31592582061731905,2023-07-17 18:05:00-04:00,15826.5,target,True,5.0,0.5,8.0,0.5,72,0.75,-0.25,1.0,-0.5
2023-07-18,2023-07-18 18:00:00-04:00,2023-07-18 17:00:00-04:00,Short,15947.75,15952.0,4.25,2.6649527362794125,2023-07-18 18:05:00-04:00,15947.75,target,True,5.0,4.25,8.5,7.5,72,0.75,3.5,8.5,7.0
2023-07-24,2023-07-24 18:00:00-04:00,2023-07-24 17:00:00-04:00,Short,15568.25,15569.25,1.0,0.642332953286336,2023-07-24 18:05:00-04:00,15568.25,target,True,5.0,1.0,2.75,7.5,72,0.75,0.25,2.0,0.5
2023-08-07,2023-08-07 18:00:00-04:00,2023-08-07 17:00:00-04:00,Short,15490.25,15490.75,0.5,0.3227836865124837,2023-08-07 18:10:00-04:00,15490.25,target,True,10.0,0.5,7.25,2.0,72,0.75,-0.25,1.0,-0.5
2023-08-08,2023-08-08 18:00:00-04:00,2023-08-08 17:00:00-04:00,Short,15351.0,15351.5,0.5,0.3257116800208455,2023-08-08 18:10:00-04:00,15351.0,target,True,10.0,0.5,8.5,3.0,72,0.75,-0.25,1.0,-0.5
2023-08-10,2023-08-10 18:00:00-04:00,2023-08-10 17:00:00-04:00,Short,15217.0,15218.75,1.75,1.150029572188999,2023-08-10 18:05:00-04:00,15217.0,target,True,5.0,1.75,11.75,2.75,72,0.75,1.0,3.5,2.0
2023-08-14,2023-08-14 18:00:00-04:00,2023-08-14 17:00:00-04:00,Short,15279.75,15281.75,2.0,1.3089219391678528,2023-08-14 18:05:00-04:00,15279.75,target,True,5.0,2.0,2.25,5.75,72,0.75,1.25,4.0,2.5
2023-08-15,2023-08-15 18:00:00-04:00,2023-08-15 17:00:00-04:00,Short,15110.0,15113.0,3.0,1.985440105890139,2023-08-15 18:05:00-04:00,15110.0,target,True,5.0,3.0,6.75,4.0,72,0.75,2.25,6.0,4.5
2023-08-22,2023-08-22 18:00:00-04:00,2023-08-22 17:00:00-04:00,Short,14963.25,14964.0,0.75,0.5012280086211217,2023-08-22 18:05:00-04:00,14963.25,target,True,5.0,0.75,11.0,4.0,72,0.75,0.0,1.5,0.0
2023-09-06,2023-09-06 18:00:00-04:00,2023-09-06 17:00:00-04:00,Short,15387.5,15388.75,1.25,0.8123476848090982,2023-09-06 18:05:00-04:00,15387.5,target,True,5.0,1.25,3.25,1.5,72,0.75,0.5,2.5,1.0
2023-09-07,2023-09-07 18:00:00-04:00,2023-09-07 17:00:00-04:00,Short,15285.25,15287.0,1.75,1.1448945879197265,2023-09-07 18:05:00-04:00,15285.25,target,True,5.0,1.75,3.0,1.75,72,0.75,1.0,3.5,2.0
2023-09-20,2023-09-20 18:00:00-04:00,2023-09-20 17:00:00-04:00,Short,15131.5,15133.0,1.5,0.9913095198757559,2023-09-20 18:15:00-04:00,15131.5,target,True,15.0,1.5,15.0,7.75,72,0.75,0.75,3.0,1.5
