Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
35,Exit short,2025-12-05 10:00,P6 Short Exit,26571,1,53101.5,-40.5,-0.08,0,53,0.10,-40.5,-0.08,581,0.58,7
35,Entry short,2025-12-05 09:53,P6S|sig=1764946380000|zone=1762952400000|prox=26550.00|dist=26570.00|rvol=0.7844|room=8.9762,26550.75,1,53101.5,-40.5,-0.08,0,53,0.10,-40.5,-0.08,581,0.58,7
36,Exit long,2025-12-09 09:33,P6 Long Exit,26324,1,52698,-50,-0.09,0,95.5,0.18,-50,-0.09,531,0.53,7
36,Entry long,2025-12-09 09:26,P6L|sig=1765290360000|zone=1765220400000|prox=26350.25|dist=26325.00|rvol=0.7571|room=3.7905,26349,1,52698,-50,-0.09,0,95.5,0.18,-50,-0.09,531,0.53,7
37,Exit short,2025-12-16 08:31,P6 Short Exit,25882.75,1,51706.5,-59,-0.11,0,84.5,0.16,-59,-0.11,472,0.47,1
37,Entry short,2025-12-16 08:30,P6S|sig=1765891800000|zone=1765832400000|prox=25842.50|dist=25881.75|rvol=0.989|room=3.236,25853.25,1,51706.5,-59,-0.11,0,84.5,0.16,-59,-0.11,472,0.47,1
38,Exit short,2025-12-16 15:07,P6 Short Exit,25864.75,1,51667,-62.5,-0.12,0,201,0.39,-62.5,-0.12,409.5,0.41,82
38,Entry short,2025-12-16 13:45,P6S|sig=1765910700000|zone=1765900800000|prox=25830.25|dist=25863.75|rvol=1.0859|room=3.4203,25833.5,1,51667,-62.5,-0.12,0,201,0.39,-62.5,-0.12,409.5,0.41,82
39,Exit short,2025-12-18 02:11,P6 Short Exit,25521.25,1,50942,-100.5,-0.20,0,45.5,0.09,-100.5,-0.20,309,0.31,187
39,Entry short,2025-12-17 23:04,P6S|sig=1766030640000|zone=1766023200000|prox=25470.75|dist=25520.25|rvol=1.1212|room=4.1139,25471,1,50942,-100.5,-0.20,0,45.5,0.09,-100.5,-0.20,309,0.31,187
40,Exit short,2025-12-19 10:25,P6 Short Exit,26009,1,52218.5,200.5,0.38,0,200.5,0.38,0,0.00,509.5,0.51,25
40,Entry short,2025-12-19 10:00,P6S|sig=1766156400000|zone=1765803600000|prox=26109.00|dist=26167.75|rvol=0.7696|room=5.5983,26109.25,1,52218.5,200.5,0.38,0,200.5,0.38,0,0.00,509.5,0.51,25
41,Exit short,2026-01-01 23:25,P6 Short Exit,26144,1,52180.5,-107.5,-0.21,0,4,0.01,-107.5,-0.21,402,0.40,122
41,Entry short,2026-01-01 21:23,P6S|sig=1767320580000|zone=1767204000000|prox=26090.00|dist=26143.00|rvol=0.94|room=5.8426,26090.25,1,52180.5,-107.5,-0.21,0,4,0.01,-107.5,-0.21,402,0.40,122
42,Exit short,2026-01-05 03:12,P6 Short Exit,26018.5,1,52009,-28,-0.05,0,5.5,0.01,-28,-0.05,374,0.37,2
42,Entry short,2026-01-05 03:10,P6S|sig=1767600600000|zone=1767592800000|prox=26002.75|dist=26017.50|rvol=0.7865|room=10.8254,26004.5,1,52009,-28,-0.05,0,5.5,0.01,-28,-0.05,374,0.37,2
43,Exit short,2026-01-07 09:46,P6 Short Exit,26377,1,52728.5,-25.5,-0.05,0,36,0.07,-25.5,-0.05,348.5,0.35,5
43,Entry short,2026-01-07 09:41,P6S|sig=1767796860000|zone=1766980800000|prox=26360.75|dist=26376.00|rvol=0.9962|room=5.2462,26364.25,1,52728.5,-25.5,-0.05,0,36,0.07,-25.5,-0.05,348.5,0.35,5
44,Exit short,2026-01-07 10:35,P6 Short Exit,26402.75,1,52763,-42.5,-0.08,0,122.5,0.23,-42.5,-0.08,306,0.31,47
44,Entry short,2026-01-07 09:48,P6S|sig=1767797280000|zone=1766966400000|prox=26379.25|dist=26401.75|rvol=1.0825|room=4.4149,26381.5,1,52763,-42.5,-0.08,0,122.5,0.23,-42.5,-0.08,306,0.31,47
45,Exit short,2026-01-08 02:24,P6 Short Exit,26302.75,1,52582.5,-23,-0.04,0,44.5,0.08,-23,-0.04,283,0.28,1
45,Entry short,2026-01-08 02:23,P6S|sig=1767856980000|zone=1767844800000|prox=26284.75|dist=26301.75|rvol=1.0728|room=5.9583,26291.25,1,52582.5,-23,-0.04,0,44.5,0.08,-23,-0.04,283,0.28,1
46,Exit long,2026-01-13 08:30,P6 Long Exit,26487.5,1,52773.5,201.5,0.38,0,201.5,0.38,-22.5,-0.04,484.5,0.48,567
46,Entry long,2026-01-12 23:03,P6L|sig=1768276980000|zone=1768269600000|prox=26387.50|dist=26369.50|rvol=1.1786|room=20.8553,26386.75,1,52773.5,201.5,0.38,0,201.5,0.38,-22.5,-0.04,484.5,0.48,567
47,Exit long,2026-01-13 10:15,P6 Long Exit,26393.75,1,52813,-25.5,-0.05,0,119,0.23,-25.5,-0.05,459,0.46,13
47,Entry long,2026-01-13 10:02,P6L|sig=1768316520000|zone=1768305600000|prox=26408.75|dist=26394.75|rvol=0.9056|room=25,26406.5,1,52813,-25.5,-0.05,0,119,0.23,-25.5,-0.05,459,0.46,13
48,Exit short,2026-01-14 04:10,P6 Short Exit,26385.25,1,52740.5,-30,-0.06,0,3.5,0.01,-30,-0.06,429,0.43,10
48,Entry short,2026-01-14 04:00,P6S|sig=1768381200000|zone=1768374000000|prox=26369.00|dist=26384.25|rvol=0.9266|room=6.6308,26370.25,1,52740.5,-30,-0.06,0,3.5,0.01,-30,-0.06,429,0.43,10
49,Exit long,2026-01-16 03:40,P6 Long Exit,26309.5,1,52636.5,-17.5,-0.03,0,71,0.13,-17.5,-0.03,411.5,0.41,67
