time,open,high,low,close,P6 · research proximal,P6 · direction (+1/-1),P6 · opposing room R,P6 · zone created Unix seconds,P6 · active research entry,P6 · active stop,P6 · active target
2026-09-04T15:06:00-04:00,29518,29518,29508.25,29511.25,,,,,,,
2026-09-04T15:07:00-04:00,29511,29517.75,29506.25,29507.75,,,,,,,
2026-09-04T15:08:00-04:00,29507.75,29512.5,29507,29512.5,,,,,,,
2026-09-04T15:09:00-04:00,29512,29514.25,29508.5,29509.5,,,,,,,
2026-09-04T15:10:00-04:00,29509.5,29516.5,29506.75,29514.75,,,,,,,
2026-09-04T15:11:00-04:00,29514.25,29517.75,29512.25,29516,,,,,,,
2026-09-04T15:12:00-04:00,29516,29519.5,29513.25,29514.75,,,,,,,
2026-09-04T15:13:00-04:00,29515,29515.25,29511.25,29513,,,,,,,
2026-09-04T15:14:00-04:00,29513.25,29516.75,29510,29511.25,,,,,,,
2026-09-04T15:15:00-04:00,29511.25,29516.75,29510.5,29516,,,,,,,
2026-09-04T15:16:00-04:00,29515.75,29517.25,29511.25,29511.75,,,,,,,
2026-09-04T15:17:00-04:00,29512,29521.75,29511.5,29517,,,,,,,
2026-09-04T15:18:00-04:00,29517,29519.75,29515.75,29516.5,,,,,,,
2026-09-04T15:19:00-04:00,29516.25,29517,29512.5,29514.75,,,,,,,
2026-09-04T15:20:00-04:00,29515.25,29520.25,29513.75,29519,,,,,,,
2026-09-04T15:21:00-04:00,29519.5,29523,29518,29519.5,,,,,,,
2026-09-04T15:22:00-04:00,29519.75,29521.5,29514.25,29517.25,,,,,,,
2026-09-04T15:23:00-04:00,29516.75,29520.75,29514.25,29520.5,,,,,,,
2026-09-04T15:24:00-04:00,29520,29524.75,29518.75,29522.75,,,,,,,
2026-09-04T15:25:00-04:00,29522.75,29528,29522.5,29523.5,,,,,,,
2026-09-04T15:26:00-04:00,29523.25,29525.75,29521,29521.25,,,,,,,
2026-09-04T15:27:00-04:00,29521.5,29531.75,29521,29526.5,,,,,,,
2026-09-04T15:28:00-04:00,29526.75,29530.75,29525.25,29528.5,,,,,,,
2026-09-04T15:29:00-04:00,29528,29528.75,29522.75,29526.5,,,,,,,
2026-09-04T15:30:00-04:00,29526.25,29529.25,29517.25,29529.25,,,,,,,
2026-09-04T15:31:00-04:00,29528.75,29532.75,29526.5,29528.25,,,,,,,
2026-09-04T15:32:00-04:00,29528,29530,29526,29528,,,,,,,
2026-09-04T15:33:00-04:00,29528.25,29538.5,29527.75,29538,,,,,,,
2026-09-04T15:34:00-04:00,29538,29540,29536,29537.75,,,,,,,
2026-09-04T15:35:00-04:00,29538,29544.25,29534,29542.25,,,,,,,
2026-09-04T15:36:00-04:00,29542.25,29547.25,29537.5,29540.75,,,,,,,
2026-09-04T15:37:00-04:00,29541,29542.25,29536.5,29538,,,,,,,
2026-09-04T15:38:00-04:00,29538.25,29538.25,29527,29530,,,,,,,
2026-09-04T15:39:00-04:00,29529.75,29536,29529.25,29533.75,,,,,,,
2026-09-04T15:40:00-04:00,29534,29538.25,29530.25,29536.75,,,,,,,
2026-09-04T15:41:00-04:00,29536.75,29542.25,29532.5,29534,,,,,,,
2026-09-04T15:42:00-04:00,29534.5,29538.75,29531.75,29532.75,,,,,,,
2026-09-04T15:43:00-04:00,29532.75,29539,29532,29536.5,,,,,,,
2026-09-04T15:44:00-04:00,29537,29541.75,29536.5,29540.5,,,,,,,
2026-09-04T15:45:00-04:00,29540.75,29546,29540,29544.75,,,,,,,
2026-09-04T15:46:00-04:00,29545,29549.75,29541,29545.75,,,,,,,
2026-09-04T15:47:00-04:00,29545.5,29550.5,29545,29549.75,,,,,,,
2026-09-04T15:48:00-04:00,29550.25,29550.5,29544.25,29547.25,,,,,,,
2026-09-04T15:49:00-04:00,29547,29553.25,29544.5,29551.25,,,,,,,
2026-09-04T15:50:00-04:00,29551.25,29569.25,29551,29564.75,,,,,,,
2026-09-04T15:51:00-04:00,29564.5,29574,29563.75,29573,,,,,,,
2026-09-04T15:52:00-04:00,29573,29578.75,29570,29573.75,,,,,,,
2026-09-04T15:53:00-04:00,29573.75,29573.75,29559.5,29566.75,,,,,,,
2026-09-04T15:54:00-04:00,29567,29577.5,29566,29576.5,,,,,,,
2026-09-04T15:55:00-04:00,29576.25,29583,29568,29577.25,,,,,,,
2026-09-04T15:56:00-04:00,29577.25,29579.5,29571.25,29578,,,,,,,
2026-09-04T15:57:00-04:00,29577.75,29585.5,29577.5,29581,,,,,,,
2026-09-04T15:58:00-04:00,29580.75,29587,29569.25,29569.5,,,,,,,
2026-09-04T15:59:00-04:00,29569,29571.5,29558.25,29568.5,,,,,,,
2026-09-04T16:00:00-04:00,29568.25,29569.25,29553.5,29560,,,,,,,
2026-09-04T16:01:00-04:00,29559.5,29560.75,29552.25,29559.25,,,,,,,
2026-09-04T16:02:00-04:00,29559,29565,29552,29552,,,,,,,
2026-09-04T16:03:00-04:00,29552.5,29557,29549.5,29552.75,,,,,,,
2026-09-04T16:04:00-04:00,29552.5,29553.25,29543.75,29544,,,,,,,
2026-09-04T16:05:00-04:00,29544,29545.75,29532.75,29533.5,,,,,,,
2026-09-04T16:06:00-04:00,29533,29536.25,29531.5,29533.75,,,,,,,
2026-09-04T16:07:00-04:00,29533.5,29535,29529.5,29534,,,,,,,
2026-09-04T16:08:00-04:00,29534,29535.5,29529.75,29532.75,,,,,,,
2026-09-04T16:09:00-04:00,29532.75,29535.5,29530.5,29533.75,,,,,,,
2026-09-04T16:10:00-04:00,29535,29537.5,29534,29535.75,,,,,,,
2026-09-04T16:11:00-04:00,29535.25,29542,29535,29538,,,,,,,
2026-09-04T16:12:00-04:00,29538.25,29541.75,29537.5,29539.75,,,,,,,
2026-09-04T16:13:00-04:00,29539.5,29547,29539.25,29546,,,,,,,
2026-09-04T16:14:00-04:00,29546.5,29546.75,29540.75,29541.25,,,,,,,
2026-09-04T16:15:00-04:00,29541.5,29544,29540.5,29540.5,,,,,,,
2026-09-04T16:16:00-04:00,29540.75,29541.25,29537.75,29540.5,,,,,,,
2026-09-04T16:17:00-04:00,29540,29540,29537.25,29539.75,,,,,,,
2026-09-04T16:18:00-04:00,29539.75,29541,29538,29539.75,,,,,,,
2026-09-04T16:19:00-04:00,29540,29540,29538,29538.5,,,,,,,
2026-09-04T16:20:00-04:00,29538.75,29540,29536.75,29537.5,,,,,,,
2026-09-04T16:21:00-04:00,29538,29538.25,29534.5,29535.25,,,,,,,
2026-09-04T16:22:00-04:00,29535.5,29535.5,29532.5,29532.5,,,,,,,
2026-09-04T16:23:00-04:00,29533,29534,29531.25,29532.25,,,,,,,
2026-09-04T16:24:00-04:00,29532.25,29533,29527.5,29532,,,,,,,
2026-09-04T16:25:00-04:00,29531.75,29533,29531,29532,,,,,,,
2026-09-04T16:26:00-04:00,29531.75,29535,29531.75,29533.75,,,,,,,
2026-09-04T16:27:00-04:00,29533.75,29534.25,29532.5,29532.5,,,,,,,
2026-09-04T16:28:00-04:00,29533.25,29533.25,29531,29531,,,,,,,
2026-09-04T16:29:00-04:00,29531,29532.25,29530,29532,,,,,,,
2026-09-04T16:30:00-04:00,29531.75,29532.5,29525.75,29526.75,,,,,,,
2026-09-04T16:31:00-04:00,29527,29527,29519.75,29521,,,,,,,
2026-09-04T16:32:00-04:00,29521,29521.25,29514,29516,,,,,,,
2026-09-04T16:33:00-04:00,29516,29521.25,29515.5,29520,,,,,,,
2026-09-04T16:34:00-04:00,29520,29522,29517.75,29518.75,,,,,,,
2026-09-04T16:35:00-04:00,29518.75,29523.25,29516.5,29520.25,,,,,,,
2026-09-04T16:36:00-04:00,29520.5,29522.75,29518.75,29522.25,,,,,,,
2026-09-04T16:37:00-04:00,29522.75,29524.25,29522,29523.5,,,,,,,
2026-09-04T16:38:00-04:00,29523.75,29530,29523.75,29528.25,,,,,,,
2026-09-04T16:39:00-04:00,29528,29529.5,29523.5,29524.25,,,,,,,
2026-09-04T16:40:00-04:00,29524.5,29528,29523.75,29525.25,,,,,,,
2026-09-04T16:41:00-04:00,29525,29526.75,29523.5,29526,,,,,,,
2026-09-04T16:42:00-04:00,29526,29530.5,29525.75,29527.5,,,,,,,
2026-09-04T16:43:00-04:00,29527.5,29531.25,29527,29529.25,,,,,,,
2026-09-04T16:44:00-04:00,29529,29530.5,29528.75,29529.75,,,,,,,
2026-09-04T16:45:00-04:00,29530.25,29532.5,29528.5,29528.75,,,,,,,
2026-09-04T16:46:00-04:00,29528,29530,29527.25,29529,,,,,,,
2026-09-04T16:47:00-04:00,29528.75,29532,29526.75,29530.5,,,,,,,
2026-09-04T16:48:00-04:00,29531,29531,29525,29526,,,,,,,
2026-09-04T16:49:00-04:00,29526,29528,29525.25,29525.75,,,,,,,
2026-09-04T16:50:00-04:00,29526.25,29528.75,29525,29525.75,,,,,,,
2026-09-04T16:51:00-04:00,29526,29528.5,29526,29526.25,,,,,,,
2026-09-04T16:52:00-04:00,29527.25,29529,29525.25,29525.25,,,,,,,
2026-09-04T16:53:00-04:00,29525.75,29528.75,29524.5,29528.75,,,,,,,
2026-09-04T16:54:00-04:00,29528.25,29530.75,29527,29529,,,,,,,
2026-09-04T16:55:00-04:00,29529,29529,29525.75,29526,,,,,,,
2026-09-04T16:56:00-04:00,29526.75,29527,29519.5,29525.25,,,,,,,
2026-09-04T16:57:00-04:00,29524.5,29525.75,29521.75,29524.5,,,,,,,
2026-09-04T16:58:00-04:00,29524,29526.25,29524,29525.25,,,,,,,
2026-09-04T16:59:00-04:00,29525.75,29528,29522,29524.75,,,,,,,
