Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
87,Exit long,2026-03-03 09:30,P6 Long Exit,25064.5,1,49963.5,165.5,0.33,0,165.5,0.33,-35.5,-0.07,28.5,0.00,37
87,Entry long,2026-03-03 08:53,P6L|sig=1772545920000|zone=1772532000000|prox=24964.50|dist=24877.75|room=5.8775,24981.75,1,49963.5,165.5,0.33,0,165.5,0.33,-35.5,-0.07,28.5,0.00,37
88,Exit long,2026-03-03 19:18,P6 Long Exit,25279.75,1,50374,185.5,0.37,0,185.5,0.37,-6.5,-0.01,214,0.02,71
88,Entry long,2026-03-03 18:07,P6L|sig=1772579160000|zone=1772557200000|prox=25179.75|dist=25110.00|room=4.2473,25187,1,50374,185.5,0.37,0,185.5,0.37,-6.5,-0.01,214,0.02,71
89,Exit long,2026-03-03 20:21,P6 Long Exit,25176,1,50451,-99,-0.20,0,15,0.03,-99,-0.20,115,0.01,12
89,Entry long,2026-03-03 20:09,P6L|sig=1772586480000|zone=1772578800000|prox=25219.75|dist=25177.00|room=5.9543,25225.5,1,50451,-99,-0.20,0,15,0.03,-99,-0.20,115,0.01,12
90,Exit short,2026-03-05 04:05,P6 Short Exit,25634.5,1,51163,-106,-0.21,0,200.5,0.39,-106,-0.21,9,0.00,296
90,Entry short,2026-03-04 23:09,P6S|sig=1772683680000|zone=1772676000000|prox=25579.25|dist=25633.50|room=4.7919,25581.5,1,51163,-106,-0.21,0,200.5,0.39,-106,-0.21,9,0.00,296
91,Exit short,2026-03-05 07:44,P6 Short Exit,25579.25,1,51385.5,227,0.44,0,227,0.44,-44,-0.09,236,0.02,213
91,Entry short,2026-03-05 04:11,P6S|sig=1772701800000|zone=1772668800000|prox=25679.25|dist=25751.25|room=4.9966,25692.75,1,51385.5,227,0.44,0,227,0.44,-44,-0.09,236,0.02,213
