Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
140,Exit long,2026-04-02 03:58,P6 Long Exit,24167.75,1,48139.5,196,0.41,0,196,0.41,-50,-0.10,1082,0.11,132
140,Entry long,2026-04-02 01:46,1h first touch + room,24069.75,1,48139.5,196,0.41,0,196,0.41,-50,-0.10,1082,0.11,132
141,Exit short,2026-04-02 10:37,P6 Short Exit,24539.5,1,48960.5,-118.5,-0.24,0,40.5,0.08,-118.5,-0.24,963.5,0.10,0
141,Entry short,2026-04-02 10:37,1h first touch + room,24480.25,1,48960.5,-118.5,-0.24,0,40.5,0.08,-118.5,-0.24,963.5,0.10,0
142,Exit short,2026-04-03 08:30,P6 Short Exit,24487.25,1,48907.5,-67,-0.14,0,94.5,0.19,-67,-0.14,896.5,0.09,267
142,Entry short,2026-04-03 04:03,1h first touch + room,24453.75,1,48907.5,-67,-0.14,0,94.5,0.19,-67,-0.14,896.5,0.09,267
143,Exit short,2026-04-05 21:28,P6 Short Exit,24531.5,1,48891.5,-171.5,-0.35,0,35,0.07,-171.5,-0.35,725,0.07,86
143,Entry short,2026-04-05 20:02,1h first touch + room,24445.75,1,48891.5,-171.5,-0.35,0,35,0.07,-171.5,-0.35,725,0.07,86
144,Exit short,2026-04-05 23:02,P6 Short Exit,24506.75,1,49211,197.5,0.40,0,197.5,0.40,-27.5,-0.06,922.5,0.09,40
144,Entry short,2026-04-05 22:22,1h first touch + room,24605.5,1,49211,197.5,0.40,0,197.5,0.40,-27.5,-0.06,922.5,0.09,40
145,Exit short,2026-04-06 10:04,P6 Short Exit,24615,1,49382.5,152.5,0.31,0,152.5,0.31,-10,-0.02,1075,0.11,3
145,Entry short,2026-04-06 10:01,1h first touch + room,24691.25,1,49382.5,152.5,0.31,0,152.5,0.31,-10,-0.02,1075,0.11,3
146,Exit short,2026-04-07 14:54,P6 Short Exit,24403.75,1,48969.5,162,0.33,0,162,0.33,-214.5,-0.44,1237,0.12,170
146,Entry short,2026-04-07 12:04,1h first touch + room,24484.75,1,48969.5,162,0.33,0,162,0.33,-214.5,-0.44,1237,0.12,170
147,Exit short,2026-04-07 15:45,P6 Short Exit,24593,1,49008,-178,-0.36,0,41.5,0.08,-178,-0.36,1059,0.11,26
147,Entry short,2026-04-07 15:19,1h first touch + room,24504,1,49008,-178,-0.36,0,41.5,0.08,-178,-0.36,1059,0.11,26
148,Exit short,2026-04-07 16:00,15:00 CT close,24654.25,1,49324,15.5,0.03,0,47,0.10,-5.5,-0.01,1074.5,0.11,0
148,Entry short,2026-04-07 16:00,1h first touch + room,24662,1,49324,15.5,0.03,0,47,0.10,-5.5,-0.01,1074.5,0.11,0
149,Exit short,2026-04-07 18:32,P6 Short Exit,24989.75,1,49791.5,-188,-0.38,0,73,0.15,-188,-0.38,886.5,0.09,31
149,Entry short,2026-04-07 18:01,1h first touch + room,24895.75,1,49791.5,-188,-0.38,0,73,0.15,-188,-0.38,886.5,0.09,31
150,Exit short,2026-04-07 18:59,P6 Short Exit,25210.5,1,50291,-130,-0.26,0,49,0.10,-130,-0.26,756.5,0.08,7
