reference_close,reference_ts,reference_age_hours,asia_start_ts,asia_end_ts,side,ny_close,entry_price,raw_gap_points,gap_points,gap_bps,filled,fill_bar_ts,fill_minutes_upper_bound,exit_ts,exit_price,gross_points,net_points,gross_pnl_dollars,net_pnl_dollars,mae_points_bar_based,mfe_points_bar_based,asia_bars
16:00,2020-08-18 16:00:00-04:00,2.0,2020-08-18 18:00:00-04:00,2020-08-19 00:00:00-04:00,Short,11394.0,11413.5,19.5,19.5,17.114270668773038,False,,,2020-08-19 00:00:00-04:00,11423.75,-10.25,-10.5,-20.5,-21.0,31.25,14.75,72
16:00,2020-08-19 16:00:00-04:00,2.0,2020-08-19 18:00:00-04:00,2020-08-20 00:00:00-04:00,Short,11319.25,11327.5,8.25,8.25,7.288468758972547,True,2020-08-19 18:00:00-04:00,5.0,2020-08-19 18:05:00-04:00,11319.25,8.25,8.0,16.5,16.0,5.75,12.75,72
16:00,2020-08-20 16:00:00-04:00,2.0,2020-08-20 18:00:00-04:00,2020-08-21 00:00:00-04:00,Short,11473.5,11479.0,5.5,5.5,4.7936549440013945,False,,,2020-08-21 00:00:00-04:00,11504.25,-25.25,-25.5,-50.5,-51.0,45.25,0.0,72
16:00,2020-08-24 16:00:00-04:00,2.0,2020-08-24 18:00:00-04:00,2020-08-25 00:00:00-04:00,Short,11626.25,11634.75,8.5,8.5,7.311041823459844,False,,,2020-08-25 00:00:00-04:00,11676.0,-41.25,-41.5,-82.5,-83.0,55.25,3.25,72
16:00,2020-08-25 16:00:00-04:00,2.0,2020-08-25 18:00:00-04:00,2020-08-26 00:00:00-04:00,Short,11715.5,11739.25,23.75,23.75,20.272288848107205,False,,,2020-08-26 00:00:00-04:00,11742.25,-3.0,-3.25,-6.0,-6.5,18.5,9.5,72
16:00,2020-08-26 16:00:00-04:00,2.0,2020-08-26 18:00:00-04:00,2020-08-27 00:00:00-04:00,Short,11965.0,11983.75,18.75,18.75,15.670706226493941,True,2020-08-26 18:10:00-04:00,15.0,2020-08-26 18:15:00-04:00,11965.0,18.75,18.5,37.5,37.0,0.0,18.75,72
16:00,2020-08-27 16:00:00-04:00,2.0,2020-08-27 18:00:00-04:00,2020-08-28 00:00:00-04:00,Short,11928.0,11951.75,23.75,23.75,19.911133467471497,False,,,2020-08-28 00:00:00-04:00,12007.75,-56.0,-56.25,-112.0,-112.5,64.25,16.75,72
16:00,2020-08-31 16:00:00-04:00,2.0,2020-08-31 18:00:00-04:00,2020-09-01 00:00:00-04:00,Short,12092.5,12109.0,16.5,16.5,13.644821170146786,False,,,2020-09-01 00:00:00-04:00,12157.0,-48.0,-48.25,-96.0,-96.5,65.75,16.0,72
16:00,2020-09-01 16:00:00-04:00,2.0,2020-09-01 18:00:00-04:00,2020-09-02 00:00:00-04:00,Short,12294.0,12326.75,32.75,32.75,26.63901089962583,False,,,2020-09-02 00:00:00-04:00,12381.25,-54.5,-54.75,-109.0,-109.5,89.75,12.25,72
16:00,2020-09-02 16:00:00-04:00,2.0,2020-09-02 18:00:00-04:00,2020-09-03 00:00:00-04:00,Long,12410.75,12408.25,-2.5,2.5,2.0143826924239066,True,2020-09-02 18:00:00-04:00,5.0,2020-09-02 18:05:00-04:00,12410.75,2.5,2.25,5.0,4.5,6.75,4.0,72
16:00,2020-09-03 16:00:00-04:00,2.0,2020-09-03 18:00:00-04:00,2020-09-04 00:00:00-04:00,Long,11773.5,11748.75,-24.75,24.75,21.021786214804433,False,,,2020-09-04 00:00:00-04:00,11643.75,-105.0,-105.25,-210.0,-210.5,166.5,0.0,72
16:00,2020-09-08 16:00:00-04:00,2.0,2020-09-08 18:00:00-04:00,2020-09-09 00:00:00-04:00,Long,11068.5,11014.25,-54.25,54.25,49.01296471970005,True,2020-09-08 20:10:00-04:00,135.0,2020-09-08 20:15:00-04:00,11068.5,54.25,54.0,108.5,108.0,79.25,54.75,72
16:00,2020-09-09 16:00:00-04:00,2.0,2020-09-09 18:00:00-04:00,2020-09-10 00:00:00-04:00,Long,11386.25,11374.75,-11.5,11.5,10.09990119661873,True,2020-09-09 18:00:00-04:00,5.0,2020-09-09 18:05:00-04:00,11386.25,11.5,11.25,23.0,22.5,0.0,22.25,72
16:00,2020-09-10 16:00:00-04:00,2.0,2020-09-10 18:00:00-04:00,2020-09-11 00:00:00-04:00,Short,11156.75,11187.25,30.5,30.5,27.337710354717995,False,,,2020-09-11 00:00:00-04:00,11248.25,-61.0,-61.25,-122.0,-122.5,80.75,7.75,72
