reference_close,side,max_gap_bps,trades,fills,fill_rate,fill_ci95_low,fill_ci95_high,median_gap_points,mean_gap_points,mean_gap_bps,median_fill_minutes,avg_gross_pnl_dollars,avg_net_pnl_dollars,avg_net_pnl_ci95_low,avg_net_pnl_ci95_high,net_pnl_tstat,total_net_pnl_dollars,net_win_rate,profit_factor,max_drawdown_dollars,avg_mae_points
17:00,All,1.0,337,328,0.973293768545994,0.9500316210836103,0.9858873866774066,0.75,0.8227002967359051,0.494167249087432,5.0,0.1394658753709199,-0.36053412462908013,-1.4901761349624976,0.7691078857043374,-0.6255379125249999,-121.5,0.7359050445103857,0.7557788944723618,317.0,10.432492581602373
17:00,All,2.0,549,533,0.970856102003643,0.9531860213931025,0.9819826272212344,1.25,1.4162112932604736,0.8605260556928558,5.0,0.43169398907103823,-0.06830601092896176,-1.7364626060345196,1.5998505841765962,-0.0802546492320765,-37.5,0.825136612021858,0.9705188679245284,451.0,10.742714025500911
17:00,All,3.0,706,681,0.9645892351274787,0.9482486456494735,0.9759013765735877,1.625,2.001770538243626,1.2183298876396276,5.0,0.7110481586402266,0.21104815864022664,-1.4803749457532973,1.9024712630337506,0.24455548237852065,149.0,0.8526912181303116,1.0671322369903131,366.0,11.444050991501417
17:00,All,5.0,908,866,0.9537444933920705,0.9380667326021538,0.9655991316490008,2.25,2.988160792951542,1.7976050845503802,5.0,1.0495594713656389,0.5495594713656388,-1.3190081592912621,2.41812710202254,0.5764398152166529,499.0,0.8667400881057269,1.1206625559182686,536.5,13.869218061674008
17:00,All,7.5,1018,964,0.9469548133595285,0.9314303992138198,0.9591187090561273,2.75,3.74950884086444,2.2536920736787986,5.0,1.3541257367387034,0.8541257367387033,-1.2469552274433666,2.955206700920773,0.7967592510805643,869.5,0.869351669941061,1.153486319505737,1101.0,15.137770137524559
17:00,All,10.0,1082,1010,0.933456561922366,0.9170200165162931,0.9468261668541488,3.0,4.320240295748613,2.6216956262947537,5.0,-0.22966728280961182,-0.7296672828096118,-3.2712301297087443,1.8118955640895207,-0.5626937803365739,-789.5,0.8604436229205176,0.9067611455565397,1849.0,16.99930683918669
17:00,All,15.0,1143,1053,0.9212598425196851,0.9041972270057478,0.9355003550291509,3.25,5.160542432195975,3.1167125100300614,5.0,-1.4724409448818898,-1.9724409448818898,-4.919977112515465,0.9750952227516847,-1.311574489414402,-2254.5,0.8521434820647419,0.8055962748986807,3367.0,19.18766404199475
17:00,All,25.0,1188,1079,0.9082491582491582,0.8904918087968312,0.9233748282225553,3.5,6.233585858585859,3.727525637683986,5.0,-2.3838383838383836,-2.8838383838383836,-6.151103571635128,0.38342680395835993,-1.7299542856981702,-3426.0,0.8434343434343434,0.7646573930963421,4624.5,21.195286195286194
17:00,All,40.0,1202,1082,0.9001663893510815,0.8819235256666568,0.915859626434021,3.5,6.783485856905158,4.0581077434088675,5.0,-2.9455074875207985,-3.4455074875207985,-6.8206016719201195,-0.07041330312147709,-2.0008539816417255,-4141.5,0.8386023294509152,0.7372978116079923,5041.5,22.059276206322796
17:00,All,60.0,1213,1087,0.8961253091508656,0.8776868754348502,0.9120626790251826,3.5,7.320486397361913,4.45423470093949,5.0,-2.903957131079967,-3.403957131079967,-6.855058310632905,0.04714404847297082,-1.9331897522993726,-4129.0,0.8359439406430338,0.7500378363652874,4741.0,22.78730420445177
17:00,All,100.0,1215,1087,0.8946502057613168,0.8761262860446959,0.9106864638926178,3.5,7.463580246913581,4.558742117128081,5.0,-3.2563786008230453,-3.7563786008230453,-7.238520078507182,-0.2742371231389078,-2.114321567680822,-4564.0,0.8345679012345679,0.7307930515822691,5176.0,22.9761316872428
17:00,Long,0.5,88,83,0.9431818181818182,0.8738006727143681,0.9754889721813438,0.375,0.4403409090909091,0.2711454450713591,5.0,-1.5852272727272727,-2.085227272727273,-4.4150498235547335,0.24459527810018766,-1.754198140503064,-183.5,0.45454545454545453,0.1425233644859813,193.5,12.681818181818182
17:00,Long,1.0,154,148,0.961038961038961,0.9176133395315473,0.9820235556570007,0.75,0.7824675324675324,0.4851124315019945,5.0,-0.6558441558441559,-1.155844155844156,-3.22140378819035,0.9097154765020381,-1.096755038968173,-178.0,0.6818181818181818,0.47023809523809523,226.5,10.978896103896103
17:00,Long,2.0,253,242,0.9565217391304348,0.9238358278760173,0.9755516814698197,1.25,1.3863636363636365,0.8541823460026431,5.0,-0.849802371541502,-1.349802371541502,-4.5566192712836235,1.8570145282006196,-0.8249813251104899,-341.5,0.7865612648221344,0.6152112676056338,538.0,11.531620553359684
17:00,Long,3.0,311,293,0.9421221864951769,0.9103760958426237,0.9630793918086473,1.5,1.8456591639871383,1.1549722661019013,5.0,-2.197749196141479,-2.697749196141479,-6.222866444630041,0.8273680523470825,-1.4999476422332665,-839.0,0.8070739549839229,0.5224815025611839,948.0,12.897106109324758
17:00,Long,5.0,391,368,0.9411764705882353,0.9132821001244859,0.9604863257583692,2.0,2.6508951406649617,1.6796852117905068,5.0,-1.4053708439897699,-1.9053708439897699,-5.363233578958374,1.5524918909788343,-1.0799903139889884,-745.0,0.8337595907928389,0.7024760383386581,1018.0,15.383631713554987
17:00,Long,7.5,440,411,0.9340909090909091,0.9069466038973099,0.9537210790244982,2.5,3.3829545454545453,2.1701135061448986,5.0,-1.1534090909090908,-1.6534090909090908,-5.602323187436124,2.2955050056179425,-0.8206363107023745,-727.5,0.8386363636363636,0.7777608064762487,1319.0,16.467613636363637
17:00,Long,10.0,463,426,0.9200863930885529,0.8917906244741439,0.9414687028618868,2.75,3.9065874730021597,2.498691901114908,5.0,-3.7473002159827216,-4.247300215982722,-9.086908334673693,0.5923079027082494,-1.7200887585026214,-1966.5,0.8293736501079914,0.5968634686346863,2335.5,19.010799136069114
17:00,Long,15.0,489,446,0.9120654396728016,0.8836454165229156,0.9340617644329486,3.0,4.828732106339468,2.9811396255833276,5.0,-4.067484662576687,-4.567484662576687,-9.781683120421564,0.6467137952681892,-1.716870882759327,-2233.5,0.8261758691206544,0.626505016722408,2658.0,20.74846625766871
