trade_id,zone_id,direction,timeframe,zone_formed_at,zone_available_at,zone_proximal,zone_distal,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,points,pnl,first_touch_prior_5m_rvol
1369,8131,short,1h,2026-03-27 12:00:00+00:00,2026-03-27 13:00:00+00:00,23649.75,23689.25,2026-03-27 13:25:00+00:00,23649.75,23690.25,23549.75,2026-03-27 13:35:00+00:00,23549.75,target,100.0,200.0,1.198166422277705
1370,7493,long,1h,2025-09-04 14:00:00+00:00,2025-09-04 15:00:00+00:00,23484.75,23410.0,2026-03-27 13:56:00+00:00,23484.75,23409.0,23584.75,2026-03-27 15:31:00+00:00,23584.75,target,100.0,200.0,1.0975619336724032
1371,8132,short,1h,2026-03-29 23:00:00+00:00,2026-03-30 00:00:00+00:00,23191.5,23242.0,2026-03-30 00:19:00+00:00,23191.5,23243.0,23091.5,2026-03-30 00:20:00+00:00,23243.0,stop,-51.5,-103.0,1.0429213673763678
1372,8129,short,1h,2026-03-27 06:00:00+00:00,2026-03-27 07:00:00+00:00,23916.5,23975.75,2026-03-31 19:40:00+00:00,23916.5,23976.75,23816.5,2026-03-31 20:00:00+00:00,23918.5,timed_close,-2.0,-4.0,0.9292954012440093
1373,8122,short,1h,2026-03-25 18:00:00+00:00,2026-03-25 19:00:00+00:00,24422.25,24493.75,2026-04-06 14:00:00+00:00,24422.25,24494.75,24322.25,2026-04-06 14:04:00+00:00,24322.25,target,100.0,200.0,0.7558549072292219
1374,8159,short,1h,2026-04-07 18:00:00+00:00,2026-04-07 19:00:00+00:00,24202.0,24299.25,2026-04-07 19:18:00+00:00,24202.0,24300.25,24102.0,2026-04-07 19:45:00+00:00,24300.25,stop,-98.25,-196.5,1.196079402455551
1375,8162,long,1h,2026-04-08 08:00:00+00:00,2026-04-08 09:00:00+00:00,25171.25,25134.25,2026-04-08 12:21:00+00:00,25171.25,25133.25,25271.25,2026-04-08 13:33:00+00:00,25133.25,stop,-38.0,-76.0,1.115487450766179
1376,8161,long,1h,2026-04-08 04:00:00+00:00,2026-04-08 05:00:00+00:00,25111.25,25086.25,2026-04-08 13:40:00+00:00,25111.25,25085.25,25211.25,2026-04-08 13:51:00+00:00,25085.25,stop,-26.0,-52.0,1.2300807027446334
1377,8163,short,1h,2026-04-08 13:00:00+00:00,2026-04-08 14:00:00+00:00,25209.75,25257.25,2026-04-09 16:01:00+00:00,25209.75,25258.25,25109.75,2026-04-09 16:03:00+00:00,25258.25,stop,-48.5,-97.0,1.0812104469600359
1378,8171,long,1h,2026-04-10 12:00:00+00:00,2026-04-10 13:00:00+00:00,25272.25,25261.0,2026-04-10 14:10:00+00:00,25272.25,25260.0,25372.25,2026-04-10 14:32:00+00:00,25372.25,target,100.0,200.0,0.7766226717104862
1379,7949,short,1h,2026-01-29 14:00:00+00:00,2026-01-29 15:00:00+00:00,26175.25,26204.0,2026-04-15 14:56:00+00:00,26175.25,26205.0,26075.25,2026-04-15 15:42:00+00:00,26205.0,stop,-29.75,-59.5,0.7549038526368161
1380,7945,short,1h,2026-01-28 12:00:00+00:00,2026-01-28 13:00:00+00:00,26317.25,26326.75,2026-04-15 19:05:00+00:00,26317.25,26327.75,26217.25,2026-04-15 19:11:00+00:00,26327.75,stop,-10.5,-21.0,0.927918903415269
1381,7650,short,1h,2025-10-30 04:00:00+00:00,2025-10-30 05:00:00+00:00,26356.75,26399.5,2026-04-15 19:35:00+00:00,26356.75,26400.5,26256.75,2026-04-15 20:00:00+00:00,26344.0,timed_close,12.75,25.5,0.8446294245675665
1382,8189,long,1h,2026-04-16 05:00:00+00:00,2026-04-16 06:00:00+00:00,26443.0,26416.5,2026-04-16 08:04:00+00:00,26443.0,26415.5,26543.0,2026-04-16 08:35:00+00:00,26415.5,stop,-27.5,-55.0,0.9256483439765096
1383,8190,short,1h,2026-04-16 10:00:00+00:00,2026-04-16 11:00:00+00:00,26440.5,26466.0,2026-04-16 13:29:00+00:00,26440.5,26467.0,26340.5,2026-04-16 13:51:00+00:00,26340.5,target,100.0,200.0,0.8897525056248722
1384,8197,long,1h,2026-04-17 14:00:00+00:00,2026-04-17 15:00:00+00:00,26741.25,26629.5,2026-04-17 17:24:00+00:00,26741.25,26641.25,26841.25,2026-04-17 20:00:00+00:00,26830.5,timed_close,89.25,178.5,0.9497640718660812
1385,8196,long,1h,2026-04-17 11:00:00+00:00,2026-04-17 12:00:00+00:00,26536.75,26504.0,2026-04-19 22:00:00+00:00,26536.75,26503.0,26636.75,2026-04-19 22:03:00+00:00,26636.75,target,100.0,200.0,0.9239056506243709
1386,8199,long,1h,2026-04-20 01:00:00+00:00,2026-04-20 02:00:00+00:00,26658.25,26616.0,2026-04-20 04:36:00+00:00,26658.25,26615.0,26758.25,2026-04-20 05:44:00+00:00,26615.0,stop,-43.25,-86.5,0.7961647727272727
1387,8209,long,1h,2026-04-22 17:00:00+00:00,2026-04-22 18:00:00+00:00,26980.75,26958.0,2026-04-22 19:01:00+00:00,26980.75,26957.0,27080.75,2026-04-22 19:54:00+00:00,27080.75,target,100.0,200.0,0.8512400925240735
1388,8213,short,1h,2026-04-23 08:00:00+00:00,2026-04-23 09:00:00+00:00,26991.0,27014.0,2026-04-23 11:08:00+00:00,26991.0,27015.0,26891.0,2026-04-23 11:47:00+00:00,27015.0,stop,-24.0,-48.0,0.7913000851415155
1389,8216,long,1h,2026-04-24 07:00:00+00:00,2026-04-24 08:00:00+00:00,27086.25,27066.0,2026-04-24 08:03:00+00:00,27086.25,27065.0,27186.25,2026-04-24 09:22:00+00:00,27065.0,stop,-21.25,-42.5,0.9974863741569399
1390,8229,short,1h,2026-04-29 09:00:00+00:00,2026-04-29 10:00:00+00:00,27238.5,27271.0,2026-04-29 10:03:00+00:00,27238.5,27272.0,27138.5,2026-04-29 10:22:00+00:00,27272.0,stop,-33.5,-67.0,1.0751392136537858
1391,8230,long,1h,2026-04-29 10:00:00+00:00,2026-04-29 11:00:00+00:00,27241.75,27211.5,2026-04-29 11:43:00+00:00,27241.75,27210.5,27341.75,2026-04-29 12:30:00+00:00,27210.5,stop,-31.25,-62.5,1.2414986043951723
1392,8242,short,1h,2026-05-01 04:00:00+00:00,2026-05-01 05:00:00+00:00,27642.0,27673.75,2026-05-01 13:30:00+00:00,27642.0,27674.75,27542.0,2026-05-01 13:31:00+00:00,27674.75,stop,-32.75,-65.5,1.0272534876689845
1393,8260,long,1h,2026-05-07 01:00:00+00:00,2026-05-07 02:00:00+00:00,28670.0,28637.5,2026-05-07 02:12:00+00:00,28670.0,28636.5,28770.0,2026-05-07 07:08:00+00:00,28770.0,target,100.0,200.0,0.9221713538260301
1394,8266,long,1h,2026-05-11 01:00:00+00:00,2026-05-11 02:00:00+00:00,29304.25,29250.5,2026-05-11 04:09:00+00:00,29304.25,29249.5,29404.25,2026-05-11 13:32:00+00:00,29404.25,target,100.0,200.0,0.938246901228392
1395,8271,short,1h,2026-05-12 10:00:00+00:00,2026-05-12 11:00:00+00:00,29214.0,29248.25,2026-05-12 11:00:00+00:00,29214.0,29249.25,29114.0,2026-05-12 12:30:00+00:00,29114.0,target,100.0,200.0,1.1468114553390822
1396,8278,short,1h,2026-05-14 07:00:00+00:00,2026-05-14 08:00:00+00:00,29603.5,29640.25,2026-05-14 08:15:00+00:00,29603.5,29641.25,29503.5,2026-05-14 09:37:00+00:00,29503.5,target,100.0,200.0,0.8954428947105623
1397,8280,short,1h,2026-05-14 18:00:00+00:00,2026-05-14 19:00:00+00:00,29727.75,29755.5,2026-05-14 19:01:00+00:00,29727.75,29756.5,29627.75,2026-05-14 20:00:00+00:00,29691.0,timed_close,36.75,73.5,1.120948980374445
1398,8287,long,1h,2026-05-18 06:00:00+00:00,2026-05-18 07:00:00+00:00,29050.5,28990.0,2026-05-18 11:10:00+00:00,29050.5,28989.0,29150.5,2026-05-18 11:36:00+00:00,29150.5,target,100.0,200.0,1.0247700553631691
1399,8291,long,1h,2026-05-19 06:00:00+00:00,2026-05-19 07:00:00+00:00,28961.75,28885.0,2026-05-19 09:15:00+00:00,28961.75,28884.0,29061.75,2026-05-19 09:31:00+00:00,28884.0,stop,-77.75,-155.5,0.8328556219801818
1400,8297,short,1h,2026-05-20 02:00:00+00:00,2026-05-20 03:00:00+00:00,28938.5,29017.0,2026-05-20 04:14:00+00:00,28938.5,29018.0,28838.5,2026-05-20 06:19:00+00:00,29018.0,stop,-79.5,-159.0,1.1509191539830006
1401,8299,long,1h,2026-05-20 08:00:00+00:00,2026-05-20 09:00:00+00:00,29039.0,29014.25,2026-05-20 13:36:00+00:00,29039.0,29013.25,29139.0,2026-05-20 13:44:00+00:00,29139.0,target,100.0,200.0,0.9818831625572686
1402,8306,short,1h,2026-05-21 12:00:00+00:00,2026-05-21 13:00:00+00:00,29246.0,29293.75,2026-05-21 13:30:00+00:00,29246.0,29294.75,29146.0,2026-05-21 13:54:00+00:00,29294.75,stop,-48.75,-97.5,1.0795290936178914
1403,8311,short,1h,2026-05-22 05:00:00+00:00,2026-05-22 06:00:00+00:00,29572.5,29606.75,2026-05-22 06:16:00+00:00,29572.5,29607.75,29472.5,2026-05-22 08:02:00+00:00,29607.75,stop,-35.25,-70.5,1.1626006293163336
1404,8330,long,1h,2026-05-27 07:00:00+00:00,2026-05-27 08:00:00+00:00,30103.5,30055.5,2026-05-27 13:36:00+00:00,30103.5,30054.5,30203.5,2026-05-27 13:38:00+00:00,30054.5,stop,-49.0,-98.0,1.2168728840346248
1405,8332,long,1h,2026-05-27 16:00:00+00:00,2026-05-27 17:00:00+00:00,29940.75,29877.25,2026-05-27 17:07:00+00:00,29940.75,29876.25,30040.75,2026-05-27 18:26:00+00:00,30040.75,target,100.0,200.0,1.047905029888147
1406,8333,long,1h,2026-05-27 18:00:00+00:00,2026-05-27 19:00:00+00:00,29989.5,29895.0,2026-05-27 23:45:00+00:00,29989.5,29894.0,30089.5,2026-05-28 00:58:00+00:00,30089.5,target,100.0,200.0,0.8398486759142497
1407,8334,short,1h,2026-05-28 02:00:00+00:00,2026-05-28 03:00:00+00:00,30071.0,30080.75,2026-05-28 13:00:00+00:00,30071.0,30081.75,29971.0,2026-05-28 13:01:00+00:00,30081.75,stop,-10.75,-21.5,0.9923398032664235
