variant,year,trades,win_rate,avg_points,total_points,avg_r,total_pnl,profit_factor,max_drawdown,sharpe,sortino,pnl_calmar,annualized_volatility,profitable_months
Sensitivity · first touch + width ≤0.6,2025,493.0,0.23935091277890466,3.7281947261663286,1838.0,0.14506365057363574,3676.0,1.1983917102919748,-1425.0,1.652716440800732,2.9615437597746137,2.9462359581959423,2199.80577590935,0.6666666666666666
Sensitivity · first touch + width ≤0.6,2026,354.0,0.3418079096045198,8.385593220338983,2968.5,0.1755051471012465,5937.0,1.3690098825284356,-942.5,3.3032298349141977,6.488612386395253,10.345962460681688,2760.92381241398,0.7777777777777778
Sensitivity · first touch + volume <0.5,2019,30.0,0.13333333333333333,-8.85,-265.5,-0.477239701009233,-531.0,0.24734231041814317,-531.0,-3.4403190187962744,-3.760659266691651,-1.4651162790697674,217.40479774657993,0.0
Sensitivity · first touch + volume <0.5,2020,41.0,0.2682926829268293,4.7926829268292686,196.5,-0.26007150631554443,393.0,1.2957110609480813,-537.5,0.3089908829620535,0.6526192549988438,0.2778945924944005,600.7736733418661,0.4166666666666667
Sensitivity · first touch + volume <0.5,2021,42.0,0.23809523809523808,1.4761904761904763,62.0,0.431172680071169,124.0,1.0778894472361809,-489.5,0.018354423642285796,0.03329285164190181,0.020542920029347028,657.5507764480451,0.3333333333333333
Sensitivity · first touch + volume <0.5,2022,32.0,0.28125,-1.21875,-39.0,0.1460132181696046,-78.0,0.9584664536741214,-890.5,-0.36399901147243646,-0.5546695522947266,-0.302578499546495,740.2386966827174,0.3333333333333333
Sensitivity · first touch + volume <0.5,2023,40.0,0.15,-3.96875,-158.75,-0.20947858400531497,-317.5,0.7664582567120265,-370.0,-0.5893342002886158,-1.1131165569974637,-0.8317047817047818,522.166826700476,0.3333333333333333
Sensitivity · first touch + volume <0.5,2024,32.0,0.34375,15.8828125,508.25,0.48580748147867225,1016.5,1.9603212092583846,-283.5,1.4214677546016077,3.354882163916035,3.448685326547922,687.8117965822975,0.5
Sensitivity · first touch + volume <0.5,2025,23.0,0.2608695652173913,3.108695652173913,71.5,0.08701272327995553,143.0,1.1352885525070955,-248.5,0.32149650536294433,0.6191143906189805,0.7304516755706654,564.6009780865008,0.4166666666666667
Sensitivity · first touch + volume <0.5,2026,11.0,0.36363636363636365,11.636363636363637,128.0,0.4317417267037307,256.0,1.4705882352941178,-221.0,0.6651585093572372,1.3530428364796594,1.6585767174002468,551.064820473632,0.3333333333333333
Sensitivity · first touch + volume <1.0,2019,148.0,0.20945945945945946,-0.8429054054054054,-124.75,-0.020796146747146308,-249.5,0.9047709923664122,-818.0,-0.793720359044808,-1.4835472055272019,-0.5978263410073624,749.4291944560606,0.5
Sensitivity · first touch + volume <1.0,2020,247.0,0.2145748987854251,-1.0880566801619433,-268.75,-0.3149635445499568,-537.5,0.9384941068772171,-2116.0,-0.5017492911916047,-0.8518667955980171,-0.33944476774038956,1508.6455434014856,0.4166666666666667
Sensitivity · first touch + volume <1.0,2021,285.0,0.22807017543859648,0.8429824561403508,240.25,0.014668424312138459,480.5,1.0499843961302402,-1111.5,0.25448482854444227,0.4094882972723858,0.38204916680415774,1568.8219277897854,0.5
Sensitivity · first touch + volume <1.0,2022,276.0,0.3115942028985507,2.8949275362318843,799.0,0.16121418831429704,1598.0,1.1244063838069287,-1346.0,0.8426057853347882,1.412044239730396,1.2524278846153845,1902.5595601277978,0.5
Sensitivity · first touch + volume <1.0,2023,257.0,0.19844357976653695,-1.0914396887159532,-280.5,0.022890483226899395,-561.0,0.9374337812970501,-1705.5,-0.3210618447926393,-0.5812239155250233,-0.3107570282066926,1586.3945762839717,0.4166666666666667
Sensitivity · first touch + volume <1.0,2024,240.0,0.30833333333333335,8.132291666666667,1951.75,0.23641303142357892,3903.5,1.4754567600487212,-758.5,2.3016016855880213,4.857480989537046,5.137590765220629,1693.1090291690778,0.75
Sensitivity · first touch + volume <1.0,2025,288.0,0.2673611111111111,0.8411458333333334,242.25,0.04036821373940705,484.5,1.0350477430555556,-2045.5,0.27393110671764576,0.4679950442809857,0.2764212016110009,1991.4395554266198,0.5833333333333334
Sensitivity · first touch + volume <1.0,2026,223.0,0.3901345291479821,8.253363228699552,1840.5,0.2437705970678927,3681.0,1.2892162639952858,-1204.0,2.348216637634128,3.977936686235134,5.79725138302043,2576.181311906866,0.8888888888888888
