entry_time,entry_bar_close,exit_time,quantity,entry,exit,gross_pnl,cost,net_pnl,exit_reason,initial_stop,initial_risk_usd,initial_target,gross_r,net_r,holding_minutes,exit_month,crossed_local_date,source_minutes_in_entry_day_flatten_window,direction
2025-09-15T09:50:00-04:00,2025-09-15T09:50:00-04:00,2025-09-15T15:50:00-04:00,1,24228.5,24290.75,1245.0,12.5,1232.5,force-flat window,24172.75,1115.0,24340.0,1.116591928251121,1.1053811659192825,360.0,2025-09,False,15,Long
2025-09-18T10:05:00-04:00,2025-09-18T10:05:00-04:00,2025-09-18T15:50:00-04:00,1,24722.0,24707.0,-300.0,12.5,-312.5,force-flat window,24623.75,1965.0,24918.5,-0.15267175572519084,-0.15903307888040713,345.0,2025-09,False,15,Long
2025-09-19T09:50:00-04:00,2025-09-19T09:50:00-04:00,2025-09-19T14:48:00+00:00,1,24793.25,24737.5,-1115.0,12.5,-1127.5,stop,24737.5,1115.0,24904.75,-1.0,-1.0112107623318385,58.0,2025-09,False,15,Long
2025-09-22T09:50:00-04:00,2025-09-22T09:50:00-04:00,2025-09-22T12:10:00-04:00,1,24857.5,24944.0,1730.0,7.5,1722.5,limit,24814.25,865.0,24944.0,2.0,1.9913294797687862,140.0,2025-09,False,15,Long
2025-09-26T14:25:00-04:00,2025-09-26T14:25:00-04:00,2025-09-26T15:50:00-04:00,1,24718.25,24726.25,160.0,12.5,147.5,force-flat window,24597.0,2425.0,24960.75,0.06597938144329897,0.060824742268041236,85.0,2025-09,False,15,Long
2025-09-29T09:50:00-04:00,2025-09-29T09:50:00-04:00,2025-09-29T15:37:00+00:00,1,24947.0,24848.25,-1975.0,12.5,-1987.5,stop,24848.25,1975.0,25144.5,-1.0,-1.0063291139240507,107.0,2025-09,False,15,Long
2025-09-30T11:00:00-04:00,2025-09-30T11:00:00-04:00,2025-09-30T13:25:00-04:00,1,24842.25,24741.5,-2015.0,12.5,-2027.5,stop,24741.5,2015.0,25043.75,-1.0,-1.0062034739454093,145.0,2025-09,False,15,Long
2025-10-01T10:20:00-04:00,2025-10-01T10:20:00-04:00,2025-10-01T15:50:00-04:00,1,24857.75,25023.25,3310.0,12.5,3297.5,force-flat window,24742.75,2300.0,25087.75,1.4391304347826086,1.433695652173913,330.0,2025-10,False,15,Long
2025-10-06T13:25:00-04:00,2025-10-06T13:25:00-04:00,2025-10-06T15:50:00-04:00,1,25225.25,25195.5,-595.0,12.5,-607.5,force-flat window,25116.75,2170.0,25442.25,-0.27419354838709675,-0.2799539170506912,145.0,2025-10,False,15,Long
2025-10-08T09:50:00-04:00,2025-10-08T09:50:00-04:00,2025-10-08T15:50:00-04:00,1,25161.5,25310.5,2980.0,12.5,2967.5,force-flat window,25074.0,1750.0,25336.5,1.7028571428571428,1.6957142857142857,360.0,2025-10,False,15,Long
