experiment,reference_universe,split,retention,avg_points_uplift,profit_factor_uplift,trades,win_rate,avg_points,avg_points_ci_low,avg_points_ci_high,avg_r,total_pnl,profit_factor,max_drawdown,sharpe,sortino,pnl_calmar,annualized_volatility,profitable_months
1h · first Sarah test,1h,Train 2019–22,0.8698140200286123,1.4010683338353036,0.06579148358769549,1824,0.23848684210526316,-0.19216008771929824,-2.4187964732352696,2.225011936850034,-0.03923806378640537,-701.0,0.9900927829952019,-4814.0,-0.07198161737373153,-0.1125341632347771,-0.03548604469302975,2219.676662734644,0.4318181818181818
1h · first Sarah test,1h,Validation 2023–24,0.8729752770673487,0.8632265108828857,0.049870565894532426,1024,0.2353515625,1.852783203125,-1.3032527270208962,5.022364614952936,0.1216591501640665,3794.5,1.101375901683142,-3845.5,0.9037910817211326,1.535641204224656,0.5856370959819236,2274.404172015064,0.625
1h · first Sarah test,1h,Holdout 2025–26,0.792332268370607,1.5378893769968052,0.055867938062027944,992,0.3235887096774194,2.109375,-1.4347404196014286,5.703632841729527,0.09199908201287095,4185.0,1.0747448227824363,-2686.0,0.9558853085754224,1.5032631366587128,1.3590755575801359,3199.755781258315,0.6190476190476191
1h · first physical touch,1h,Overall,0.7671384343210969,1.7746226640737466,0.08401452137242682,3469,0.25857595848947823,1.4507062554050159,-0.3375265441089635,3.2849877181201443,0.04144018981621574,10065.0,1.0700078945812568,-4556.0,0.6417801963252119,1.0432785348836,0.35223972310099994,2329.5849782572377,0.5617977528089888
1h · first physical touch,1h,Train 2019–22,0.7825464949928469,1.6623935647599644,0.07940373421526581,1641,0.2340036563071298,0.06916514320536259,-2.160032881350534,2.434881516037506,-0.04708601681566097,227.0,1.0037050336227722,-4556.0,0.020712943777699753,0.03315074617681132,0.009822628483180265,2012.8547175291328,0.4772727272727273
1h · first physical touch,1h,Validation 2023–24,0.7877237851662404,0.4785169008314788,0.030579926381975264,924,0.22727272727272727,1.468073593073593,-1.6940794056466792,4.955797523663937,0.10827805638576148,2713.0,1.0820852621705848,-3765.0,0.6959091526281187,1.1653296431512505,0.4195735347873766,2132.8091083513837,0.5833333333333334
1h · first physical touch,1h,Holdout 2025–26,0.7220447284345048,3.3693329610676015,0.12520659269640233,904,0.33517699115044247,3.9408185840707963,0.009838867187500015,7.817905475218022,0.13382217695410237,7125.0,1.1440834774168107,-2094.0,1.5236286284449982,2.468639375655207,2.534055381659568,3074.3721176848494,0.7142857142857143
1h · HTF nested,1h,Overall,0.06855373728438743,1.1231099570558274,0.04928608567333459,310,0.25806451612903225,0.7991935483870968,-5.351316557385414,6.692763413966088,0.053148931333096436,495.5,1.0352794588821645,-2592.5,0.06248839478108472,0.10737153367927665,0.01933761250072422,786.9549019720886,0.29213483146067415
1h · HTF nested,1h,Train 2019–22,0.06676204101096805,-0.05855729273111243,-0.0018889524858489715,140,0.22857142857142856,-1.6517857142857142,-10.039491268948524,7.169490400326795,0.09237669279748532,-462.5,0.9224123469216574,-1692.5,-0.15937415490109108,-0.2861644582787681,-0.06720943861365519,683.8003613551762,0.3181818181818182
1h · HTF nested,1h,Validation 2023–24,0.059676044330775786,-3.8931281208135426,-0.21834301278430002,70,0.17142857142857143,-2.9035714285714285,-14.11059307795699,8.350348101265821,-0.043229631483347894,-406.5,0.8331623230043095,-1676.5,-0.34796440251448324,-0.5969344579810695,-0.11705420776042041,563.9696988894625,0.16666666666666666
1h · HTF nested,1h,Holdout 2025–26,0.07987220447284345,6.251014376996805,0.22273444772757744,100,0.36,6.8225,-4.5787633384146345,18.509806348281888,0.06569505925446295,1364.5,1.2416113324479858,-891.0,0.6006239391173507,1.0006445012980956,0.7721147400781269,1145.3992899793454,0.38095238095238093
1h · width ≤0.5 ATR,1h,Overall,0.5022114108801415,1.5287821065991578,0.0926186875835393,2271,0.18229854689564068,1.204865697930427,-0.7496381191350686,3.098624478100384,0.01677202248752514,5472.5,1.0786120607923693,-5513.5,0.5063912401300609,1.0070123762493768,0.15170908742632946,1510.0767836663445,0.5280898876404494
1h · width ≤0.5 ATR,1h,Train 2019–22,0.4892703862660944,-0.5366448727923769,-0.07482134349071345,1026,0.13937621832358674,-2.1298732943469787,-4.320881076047162,0.029663381410253396,-0.13758072249433445,-4370.5,0.8494799559167929,-5513.5,-0.8924975476944675,-1.6190805578407694,-0.22128694745337638,1249.7478133358213,0.38636363636363635
1h · width ≤0.5 ATR,1h,Validation 2023–24,0.5319693094629157,1.259241384680963,0.13452190711067136,624,0.15544871794871795,2.248798076923077,-0.6176914071243971,5.280518099173554,0.10976779743696159,2806.5,1.1860272428992809,-1344.0,1.0963276286389136,2.4141725707123736,1.2781569965870307,1366.3798675399262,0.5416666666666666
1h · width ≤0.5 ATR,1h,Holdout 2025–26,0.4960063897763578,5.093973314194873,0.25715630281269086,621,0.28019323671497587,5.665458937198068,1.4776496052220138,10.046974625043598,0.1783445712523232,7036.5,1.2760331875330992,-1303.5,1.931783911394297,3.9416035029162915,3.222410687356634,2069.279298832505,0.8095238095238095
1h · impulse ≥0.75 ATR,1h,Overall,0.410437859354268,-2.308087901676097,-0.07576806354587562,1856,0.3173491379310345,-2.6320043103448274,-5.570650465570946,0.11267092404859236,-0.034329318111184344,-9770.0,0.9102253096629543,-10375.5,-0.571284093516594,-0.84724301295194,-0.12010182791651548,1944.3246680447428,0.42696629213483145
