variable,level,universe,split,trades,win_rate,avg_points,avg_points_ci_low,avg_points_ci_high,avg_r,total_pnl,profit_factor,max_drawdown,sharpe,sortino,pnl_calmar,annualized_volatility,profitable_months
Prior 5m RVOL,<0.75,1h,Overall,1429,0.2232330300909727,-0.14555633310007,-2.529042766418428,2.210707391971923,0.04156368902981351,-416.0,0.9921062618595825,-3680.0,0.010109957188654891,0.016582142217134933,0.0037438398553400654,1321.8291743740183,0.42696629213483145
Prior 5m RVOL,<0.75,1h,Train 2019–22,696,0.19540229885057472,-1.6663074712643677,-5.024990011862201,1.912240653538812,-0.09774704524002248,-2319.5,0.9000495550815504,-3046.0,-0.4756703730059471,-0.7592012072360506,-0.19438878291647382,1199.629627225437,0.4090909090909091
Prior 5m RVOL,<0.75,1h,Validation 2023–24,370,0.22972972972972974,3.0236486486486487,-2.0246910738327735,8.379873185434262,0.2892379354074504,2237.5,1.1926305367827472,-1496.0,0.9567786907415997,1.7730222648360918,0.7861692875443668,1205.4097316210657,0.5416666666666666
Prior 5m RVOL,<0.75,1h,Holdout 2025–26,363,0.2699724517906336,-0.46005509641873277,-4.829565217391304,4.056763318296082,0.05622153997218314,-334.0,0.9813178207853227,-1711.5,-0.043295643320601415,-0.06858273473030367,-0.040552675028242044,1664.8876037927168,0.3333333333333333
Prior 5m RVOL,0.75–1.25,All trades,Overall,2380,0.28319327731092436,-3.6525210084033612,-6.229791792207068,-1.2576869857503736,-0.035511450869385695,-17386.0,0.8800684298387208,-20404.5,-0.7378818525182028,-1.09141502167482,-0.10597900263508486,2610.1867091807926,0.42696629213483145
Prior 5m RVOL,0.75–1.25,All trades,Train 2019–22,1052,0.2737642585551331,-3.4657794676806084,-7.144722295422065,0.1919883931761576,-0.05090362494271106,-7292.0,0.876784778898633,-10070.0,-0.718246435529125,-1.0918559524667812,-0.18604482754792614,2382.1367874719135,0.5
Prior 5m RVOL,0.75–1.25,All trades,Validation 2023–24,657,0.2420091324200913,-4.504946727549467,-8.661827113480578,-0.5409889905987141,-0.04331772043075341,-5919.5,0.828066455604287,-8176.0,-1.2004877423812679,-1.778350463171235,-0.3483779170331781,2201.2891896866136,0.375
Prior 5m RVOL,0.75–1.25,All trades,Holdout 2025–26,671,0.338301043219076,-3.110655737704918,-7.8349548434323655,2.28502940473797,-0.0037360615594648756,-4174.5,0.9187144637432821,-7399.5,-0.4505418497822691,-0.6487012737248,-0.23781452604227127,3418.035337074547,0.3333333333333333
Prior 5m RVOL,0.75–1.25,1h,Overall,1607,0.28313627878033604,0.40868077162414435,-2.2884530119549016,3.2493076340945253,0.008148283007902104,1313.5,1.017136333985649,-4039.5,0.16761403406490907,0.28063671021621234,0.07654612344709545,1710.0415299153992,0.4606741573033708
Prior 5m RVOL,0.75–1.25,1h,Train 2019–22,686,0.2653061224489796,0.033527696793002916,-4.0171247374153,4.143886064986729,-0.02515688127218172,46.0,1.0015664907202453,-3366.5,0.08019445031019631,0.13865444131395563,0.0407057339744672,1456.0159394335692,0.4090909090909091
Prior 5m RVOL,0.75–1.25,1h,Validation 2023–24,449,0.23385300668151449,0.20935412026726058,-4.304127893276079,4.8281462631058,-0.0036651334198410045,188.0,1.010700361421782,-3506.0,0.10063938404686446,0.1764201696609752,0.04764643148407603,1561.3959934543002,0.5
Prior 5m RVOL,0.75–1.25,1h,Holdout 2025–26,472,0.3559322033898305,1.1435381355932204,-4.4979546615115265,6.109432446658061,0.06779143273712698,1079.5,1.036327842371826,-2473.5,0.35369811618397823,0.564548054402981,0.3562870360939956,2297.192290924512,0.5238095238095238
Prior 5m RVOL,≥1.25,All trades,Overall,2187,0.29309556470050296,-3.1250571559213536,-6.376011330267559,-0.03687815628850574,-0.05609556684096403,-13669.0,0.9066866914701164,-17857.0,-0.5946739716603767,-0.8499471088305521,-0.09552388637130586,2634.451099412373,0.47191011235955055
Prior 5m RVOL,≥1.25,All trades,Train 2019–22,1028,0.2733463035019455,-5.082684824902723,-9.794882907014882,-0.019868433239520346,-0.15154102399755084,-10450.0,0.8353085797137995,-12803.5,-1.136137352960981,-1.5988944357951065,-0.21153147290472932,2342.7629737050124,0.4318181818181818
Prior 5m RVOL,≥1.25,All trades,Validation 2023–24,538,0.2899628252788104,2.184479553903346,-3.7878538763066203,8.54651175131212,0.0863137937108803,2350.5,1.0789221858473936,-2377.0,0.5669899820853053,0.89062609542868,0.6965112906203029,2409.5785458625164,0.625
